	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	87	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	-36.047495514367256	-3112.0194436666106	-24.962752526634823	-93.65334452663933	-40.80377420203276	-661.4973620872569	1225.490079551341	3
1	relu	0.0006387294494138678	59	adaptive	0.002282758624375005	0.8616825662469689	0.3666587932039769	-270.1637955526038	-3111.532647039292	-6277.2703460886505	-427.8915786100174	-36.24799677585936	-2024.6212728132846	2401.9864910768283	53
2	tanh	0.010543656989021549	26	constant	0.0002671595523907358	0.7034557828179574	0.7518442137823151	-51.16975796441934	-3111.7450136030625	-26.374889933345287	-94.10753369361534	-42.76751165977127	-665.2329413708428	1223.4608261125165	25
3	tanh	0.017876734228477322	81	constant	0.005041841313149235	0.5783237438412046	0.6535344581037004	-43.94657041041723	-3112.0174546408216	-24.40616996819605	-93.43964911588499	-33.042036094459505	-661.3703760459559	1225.5568916042057	2
4	relu	0.00025090443458586733	119	constant	0.0005187408891296835	0.5870100305265843	0.1703317801907238	-80.36434992490184	-3112.0198664096924	-73.67771139354141	-93.7713057233178	-52.0861036693657	-682.3838674241639	1214.892735198656	37
5	tanh	0.002966864194054837	112	constant	0.0009011608369599198	0.6646506736012668	0.6865425960164824	-46.41703646274182	-3111.7779973596917	-23.627589150440883	-93.78798468076798	-44.84925412751879	-664.0919723562322	1224.0581695345415	17
6	tanh	0.07477237695107163	112	constant	0.0003565316562441851	0.7037793196458801	0.34708485616107626	-53.363796424351285	-3112.0768664637512	-23.156425164503897	-94.16195656043561	-40.38993268000409	-664.6297954586092	1223.9477385282821	20
7	tanh	0.0007049514041517938	47	constant	0.0007356721717486382	0.6884407515514368	0.7903562019355317	-46.59004389859148	-3111.5220829460573	-28.752153289620086	-95.39241921719228	-46.54233871372691	-665.7598076130377	1223.0823592009283	29
8	tanh	0.00034782024575460144	51	adaptive	0.00101838099932791	0.7804651207139413	0.5598806207331593	-43.31647121999055	-3111.089836859058	-24.80279508539269	-92.82920854303642	-42.33478924822137	-662.8746201911397	1224.3175367691501	7
9	tanh	0.001756539560378788	36	constant	0.00015294126982859046	0.8192274771763457	0.4670419177356381	-50.919428120030325	-3111.3420488227753	-27.799588729644448	-94.24045001177129	-41.49967704053767	-665.1602385449518	1223.2929102200599	23
