	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	77	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	-38.12141266269245	-226.32228809137698	-2.604253991603741	-180.12829639751305	-0.5239202731275286	-89.54003428326276	94.91173930284057	28
1	relu	0.0006387294494138678	49	adaptive	0.002282758624375005	0.8616825662469689	0.3666587932039769	-27081.301841177024	-225.59111645322236	-2.6291816004994004	-179.97194985188648	-0.573155905603641	-5498.013448997647	10792.02889619744	59
2	tanh	0.010543656989021549	16	constant	0.0002671595523907358	0.7034557828179574	0.7518442137823151	-38.0023477142079	-226.46685747245692	-2.3589607917942352	-180.1296635362578	-0.7758276313348631	-89.54673142921033	94.9644067081791	30
3	tanh	0.017876734228477322	71	constant	0.005041841313149235	0.5783237438412046	0.6535344581037004	-37.8845876301266	-226.35163827972758	-2.5300477423363104	-180.04074101068878	-0.563389394428493	-89.47408081146156	94.93538583627053	21
4	relu	0.00025090443458586733	77	constant	0.0005187408891296835	0.5870100305265843	0.1703317801907238	-1266.190497766789	-224.03354980097296	-2.593501391935306	-178.97581594978857	-0.7412110401074837	-334.5069151899186	474.55129224565917	46
5	tanh	0.002966864194054837	33	adaptive	0.0003572970377280978	0.7009276527605308	0.7705396102353652	-38.072345644370856	-226.4572894268751	-2.4727509749999443	-179.9679202532364	-0.6405012139891025	-89.52216150269427	94.92765402802735	27
6	relu	0.005222470529555064	31	constant	0.0008047961036030015	0.6588402646749776	0.5601796239458308	-3429.5510124501106	-225.4040206359989	-2.1268287857606207	-179.49565648328138	-0.5407547121584118	-767.423654613462	1334.178046418674	51
7	tanh	0.057940284104551674	29	invscaling	0.0006878828015304658	0.9438004155299847	0.6554989988082358	-38.144906306218616	-226.45944383374982	-2.564410963941132	-180.01546777780982	-0.587612623652812	-89.55436830107445	94.9225782425132	31
8	tanh	0.01672463385548366	12	adaptive	0.0017640530750935772	0.7956375418998882	0.281395039636047	-38.05746151865968	-226.46650019716904	-2.4879611868422624	-180.01141975931284	-0.4267748005185693	-89.49002349250047	94.97747932717347	24
9	tanh	0.00010099052774376117	19	constant	0.002340226257800385	0.8315035092082674	0.4425960039946414	-37.98393629187192	-226.18646868561783	-2.5105242430337498	-180.00323925092778	-0.5236737875569353	-89.44156845180164	94.88084137921706	15
10	relu	0.00014433979096775676	45	constant	0.0015317552398482525	0.6058041832658589	0.7754796996752887	-63101.887988342656	-225.46584631584582	-2.606752397579297	-180.28897795360356	-0.8223605342769168	-12702.214385108793	25200.001439293137	60
11	tanh	0.0022065462849819232	60	invscaling	0.0001829031919616398	0.638930145784026	0.4240974759080919	-38.068666861244125	-226.44121760269698	-2.659316036803847	-180.09255897205264	-0.8282695543475197	-89.61800580542902	94.87781763153633	34
12	relu	0.02492785462879956	31	constant	0.002316881928810962	0.7258655700533969	0.378024467157522	-12310.173890059172	-223.95595389720037	-2.5888935937888875	-179.25821768636743	-0.7016666097786856	-2543.3357243692617	4884.258288457525	56
13	relu	0.00031369254768637245	51	invscaling	0.0007874832318978882	0.8487051691163077	0.6574734905477839	-37.46436301115399	-226.51731770868474	-2.1087234908631864	-179.94223488151263	-1.068163483059836	-89.42016051505489	94.993308993022	8
14	relu	0.00021380437782030936	44	adaptive	0.00595083493209499	0.8037134464400544	0.6603353342989244	-17250.915018329262	-224.54690248228826	-2.5643380554458624	-179.06591853489624	-0.4840657997191635	-3531.5152486403226	6860.299730149798	58
15	tanh	0.0005138243900155003	59	adaptive	0.0005912992755224198	0.6048907858438345	0.22304557008842127	-37.941042714413406	-226.46019957729345	-2.5283686833814123	-179.79850283426612	-0.4969156584720369	-89.4450058935653	94.92717262529125	16
16	tanh	0.014181647843079237	31	constant	0.0020772870702076367	0.5311634315044259	0.34994943984701526	-37.707571109775806	-226.35020781052586	-2.5366071120633094	-180.00477366585923	-0.5731914496792535	-89.43447022958068	94.94433804626206	13
17	tanh	0.002646696027090028	40	constant	0.0028597137681187854	0.8695524237379517	0.6323605839861981	-38.032954487857815	-226.319297894109	-2.5518934644695546	-179.9775743149597	-0.5618926488113106	-89.48872256204147	94.8941811043516	23
18	relu	0.0003429866877957335	68	invscaling	0.0002665858858303954	0.865983321692771	0.38255400344667756	-38.12591651599682	-226.216813675729	-1.3591225713795085	-180.02937207733444	-1.4031990588208698	-89.42688477985212	94.9275351886496	10
19	relu	0.06690025984114518	45	invscaling	0.0002889757162366467	0.7966212786817524	0.19273179217172398	-38.1289390764468	-226.50898759323272	-2.6092076415683323	-179.69759208932348	-0.5551925227329375	-89.49998378466084	94.87596405232347	25
20	relu	0.004293540463229136	24	invscaling	0.00010922280508049105	0.8076981763216781	0.44166854488530705	-38.11116069669436	-226.4554378803648	-2.6291098999682063	-179.99806988409165	-1.1792895558317744	-89.67461358339015	94.79921140316121	36
21	tanh	0.003962181946752047	19	invscaling	0.008918244246312395	0.6234163669374896	0.2183707443557683	-37.994550972968305	-226.35416916154506	-2.509449421368851	-180.15605804983522	-0.5405446259158024	-89.51095444632665	94.95423713340614	26
22	relu	0.08982499412705229	43	invscaling	0.006606109881020125	0.9331337696344058	0.5095698618724399	-37.68472414128072	-225.73915370259928	-21.055368537359364	-179.76638984485382	-0.6673634626806217	-92.98259993775477	91.55240393144761	40
23	relu	0.0098834117489497	37	constant	0.0004861635141021066	0.8172816661446389	0.42402075824941443	-11538.787996954257	-225.8038994102389	-2.4880438068726503	-179.4206337724183	-0.587336348514031	-2389.41758205846	4575.592469430451	55
24	relu	0.026522382823322175	52	constant	0.00010385633916693987	0.6627274914704258	0.14453559998898632	-170.04913358114504	-225.95860612737593	-5.952498204545183	-180.09423781912713	-1.0663045647382052	-116.6241560593863	94.27463536694957	43
25	relu	0.09951560342246699	54	invscaling	0.0004520987322921343	0.5444479565484379	0.49673648323267183	-38.05167589422598	-226.50284816850578	-2.7910782323314907	-180.23687674534054	-1.4974618355248184	-89.81598817518571	94.77581532853392	38
26	tanh	0.0009864421767934554	21	adaptive	0.0001196616145802746	0.9392962199354269	0.4860171586826886	-38.115649344649476	-226.40311567993703	-2.5734443904488025	-180.1639628268432	-0.5894552666540281	-89.56912550170651	94.9358266134121	32
27	tanh	0.031039947496197415	62	constant	0.0034904762645796773	0.889789565337976	0.5267303588341914	-37.81670718201508	-226.31505699580578	-2.456999671437523	-179.8039947047366	-0.5622785335091774	-89.39100741750084	94.9006605307279	5
28	relu	0.0546963138938302	72	invscaling	0.0003584587329825223	0.5542845927377712	0.7374994180017667	-37.87191175529112	-226.4875996741201	-1.88923624583969	-180.2814718386937	-0.7031162182547122	-89.44666714643986	95.11346472760805	17
