	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	87	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	-2.689806308007427	-2.9481490972395497	-5.270922380548318	-2.7028800611863635	-3.0961114184265757	-3.341573853081647	0.9767447239060645	12
1	relu	0.0006387294494138678	59	adaptive	0.002282758624375005	0.8616825662469689	0.3666587932039769	-2.2866164041058177	-2.421894349906451	-5.436651890582175	-3.132085807070217	-2.781279894368279	-3.211705669206588	1.1507895921153075	4
2	tanh	0.010543656989021549	26	constant	0.0002671595523907358	0.7034557828179574	0.7518442137823151	-3.234214800375489	-2.834306481420288	-5.561386617373491	-3.164386534214329	-3.57929454158863	-3.6747177949944456	0.9725633041204892	36
3	tanh	0.017876734228477322	81	constant	0.005041841313149235	0.5783237438412046	0.6535344581037004	-2.8396467151832594	-2.9993826629661697	-5.504435200557303	-3.105834237788662	-2.705255834644959	-3.430910930228071	1.045711536782116	18
4	relu	0.00025090443458586733	119	constant	0.0005187408891296835	0.5870100305265843	0.1703317801907238	-4.530884985063485	-3.0140772902343125	-5.473385271519544	-3.1711540864117294	-3.370888075233734	-3.912077941692561	0.9453954237247292	42
5	tanh	0.002966864194054837	112	constant	0.0009011608369599198	0.6646506736012668	0.6865425960164824	-2.9648484399661204	-2.684539785781323	-5.572936702833363	-3.1202041277018013	-2.938602198950225	-3.4562262510465667	1.0675449233905805	21
6	tanh	0.07477237695107163	112	constant	0.0003565316562441851	0.7037793196458801	0.34708485616107626	-2.775358250079541	-3.1214869529014364	-5.509468018409869	-3.081068831899085	-3.125529643162436	-3.522582339290474	1.0019502054574378	29
7	tanh	0.0007049514041517938	47	constant	0.0007356721717486382	0.6884407515514368	0.7903562019355317	-2.5530151070643363	-2.7878006299779714	-5.280554115528195	-3.05368089891471	-3.1307023771928004	-3.3611506257356027	0.9811795981337051	13
8	tanh	0.00034782024575460144	51	adaptive	0.00101838099932791	0.7804651207139413	0.5598806207331593	-2.69430458433435	-2.1719317760201315	-5.431169304800552	-3.4495496370651826	-2.646883710653113	-3.2787678025746656	1.1513435117769655	9
9	tanh	0.001756539560378788	36	constant	0.00015294126982859046	0.8192274771763457	0.4670419177356381	-2.641015751988828	-2.797716806101115	-5.568339027427949	-3.139483759728499	-3.256862623619911	-3.48068359377326	1.0673616145140914	25
10	relu	0.016218974639259566	40	invscaling	0.008090638785890258	0.569182623840747	0.5543831967921278	-3.1152209613814534	-3.441756343693139	-5.4024852374794134	-7.82095174425938	-3.961794719621304	-4.748441801286939	1.724049940934005	50
11	tanh	0.0005074125701038109	74	invscaling	0.0008803350483943914	0.8786645217042788	0.19177744964353974	-2.768269531722996	-2.3878142623434786	-5.5175341880417035	-3.22540846594493	-3.0459802528610025	-3.389001340182822	1.101159545400156	14
12	tanh	0.00013150379242419	74	adaptive	0.003960864043837765	0.6810748179375696	0.5777163657581476	-2.4207280559402076	-2.627063684808954	-5.521145541149719	-3.1433233804916365	-3.3281763933551174	-3.408087411149127	1.106921585378236	17
13	tanh	0.0009403261396688386	89	constant	0.00021429044214874655	0.6867057976579634	0.4136844602519063	-3.194081007495012	-2.9579112662480496	-5.759720585452734	-3.0006969247068422	-3.1199233450906942	-3.6064666257986664	1.0798953525332344	32
14	relu	0.040207830653704965	118	constant	0.00016596291809140316	0.8595509693041155	0.4485433781229128	-4.489478527100248	-2.656709789353112	-5.513543567980873	-3.371045677793369	-3.3635834529089284	-3.8788722030273064	1.0061890275216379	40
15	relu	0.010586595256946048	37	invscaling	0.00012059008988512184	0.8940522761915375	0.293594150715794	-3.7006606533230055	-4.128380552101714	-10.498306123894364	-5.166456560251368	-3.981209471400801	-5.495002672194251	2.550289282887284	54
16	relu	0.0003367736915912925	57	invscaling	0.004822356140496858	0.8540287665757292	0.5485467422640058	-2.7440020011401245	-3.107236813869511	-67.20233635671055	-1566.7962555741062	-3.8986786391735313	-328.749701877	619.5187183991279	60
17	tanh	0.0011781806480761514	117	invscaling	0.0007168192605234181	0.7699344968945508	0.6097128982029936	-3.371781411911885	-3.202566072161952	-5.269879454512842	-4.127791233473406	-3.4725372210211294	-3.8889110786162435	0.7584190310072935	41
18	tanh	0.018764675963637012	32	constant	0.0002274319680681338	0.6764007010192521	0.7577149297211292	-2.890130898382336	-2.9591532350775998	-5.3389891732753565	-3.4398430310372614	-3.243506421022116	-3.5743245517589335	0.9042260608564406	31
19	relu	0.004210429465293307	79	adaptive	0.004538437823448572	0.9238141706861518	0.189703497801913	-2.5492413712395425	-2.135465650281007	-5.296959089398534	-3.1603642615147263	-2.9371782044339647	-3.215841715373555	1.0975745155121728	6
20	relu	0.005527671546651409	115	invscaling	0.003946052093516697	0.7449223340204967	0.392891613533099	-3.1675887418215822	-2.7726829803181445	-6.122498713626625	-3.449174683009582	-3.1849765238902528	-3.7393843285332373	1.210973617736312	37
