	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	87	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	0.010935428769785142	mean	-41.79365312516455	-3111.899593309498	-26.29922103988976	-94.1420907272241	-42.46531807483969	-663.3199752553231	1224.5045141550722	10
1	tanh	0.003830843272289773	68	constant	0.0006107797357476622	0.8034486903225296	0.5706220912688632	0.05238420616081357	1.5*median	-48.133516523316736	-3111.6175713700627	-26.496921155661834	-93.80858880200158	-38.17657766235116	-663.6466351026787	1224.1981909561905	11
2	relu	0.06217532428346601	73	constant	0.0015889046459932454	0.9275582751861405	0.26121201531467536	0.02283894490947232	1.5*mean	-68.94590865253866	-3112.2100559266455	-726.9611237468937	-91.42241650551537	-35.18033902515046	-806.9439687713486	1180.9217007728803	49
3	relu	0.00025090443458586733	119	constant	0.0005187408891296835	0.5870100305265843	0.1703317801907238	0.015687369617193636	1.5*mean	-43.935545945031336	-3111.6723739517797	-174.80776995899248	-93.77976290947973	-43.185465026654164	-693.4761835583874	1210.0501306935696	42
4	relu	0.07140769780766253	43	adaptive	0.0003572970377280978	0.7009276527605308	0.7705396102353652	0.0027850547577161155	mean	-59.32848453855665	-3110.730935068529	-103.37644575682037	-93.77979420201737	-83.66974747783323	-690.1770814087514	1210.3657932163605	41
5	tanh	0.00017804275261178572	117	invscaling	0.0005504300884900476	0.7065918400511442	0.6035268857563291	0.010544617678394536	1.5*median	-52.85927162522781	-3112.1692117732878	-26.66669320701343	-94.38430083104262	-44.05696354946801	-666.027288197208	1223.2734843032315	27
6	tanh	0.00034782024575460144	51	adaptive	0.00101838099932791	0.7804651207139413	0.5598806207331593	0.004384405622145092	mean	-46.131402034709126	-3111.871990783921	-25.02394608123215	-93.74143874270285	-35.62572659165606	-662.4789008468442	1224.9217746903814	5
7	relu	0.00018914159085848362	29	constant	0.002340226257800385	0.8315035092082674	0.4425960039946414	0.23075567409330278	0.5*median	-90.8102944539561	-3111.0336235357313	-550.421013250281	-122.37282616717661	-47.66237726018253	-784.4600269334654	1177.2934340837978	46
8	tanh	0.008858425920279914	63	constant	0.00545837229653962	0.5646326070671654	0.4135330430707381	0.04295372867694737	0.5*median	-47.40450869417781	-3111.7680745922044	-24.703606647549456	-93.44821026726602	-32.597772795098955	-661.9844345992593	1225.123359520343	1
9	tanh	0.0002473613981812633	99	invscaling	0.0008433207538577568	0.8338312403075601	0.4400776600962276	0.002183025170196347	median	-50.99838385233938	-3112.049068354686	-27.640659734824347	-94.19004799129843	-43.568713683821144	-665.6893747233938	1223.3783163787027	22
10	relu	0.00155429493108744	120	constant	0.00799230929029316	0.6160795703653567	0.46391718046687735	0.14138318093283284	0.5*mean	-53.55589194252496	-3114.01942542176	-295.02159049136776	-92.27152814630423	-39.01794417047325	-718.777276034486	1201.1540722553332	44
11	relu	0.00021380437782030936	54	adaptive	0.00595083493209499	0.8037134464400544	0.6603353342989244	0.2119789296243593	median	-39.717197423358755	-3110.552822373444	-388503.40964911407	-93.3141820666643	-37.02822228092312	-78356.80441465168	155077.8143472172	59
