	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	77	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	0.010935428769785142	mean	-37.97243664792882	-226.48173411157225	-2.5361516145422343	-180.06604617942025	-0.4380371557003079	-89.49888114183277	94.99056598548843	23
1	tanh	0.003830843272289773	58	constant	0.0006107797357476622	0.8034486903225296	0.5706220912688632	0.05238420616081357	1.5*median	-37.572619983883925	-226.32669152440283	-2.4709807350015107	-179.82457672839163	-0.4652828166812333	-89.33203035767221	94.9501084350646	5
2	relu	0.06217532428346601	63	constant	0.0015889046459932454	0.9275582751861405	0.26121201531467536	0.02283894490947232	1.5*mean	-46476.439264428176	-225.74098227072622	-6.276169156177872	-178.4197645603996	-0.5676249248004903	-9377.488761068056	18549.694130611708	60
3	relu	0.00025090443458586733	77	constant	0.0005187408891296835	0.5870100305265843	0.1703317801907238	0.015687369617193636	1.5*mean	-38.07670732559929	-224.36563190581097	-2.499944947645257	-179.25650963687337	-0.8104657860208045	-89.00185192038994	94.15192724706614	1
4	relu	0.07140769780766253	33	adaptive	0.0003572970377280978	0.7009276527605308	0.7705396102353652	0.0027850547577161155	mean	-631.7400119282685	-226.40809357366416	-2.5738218821352983	-179.5823448922431	-0.820689852409164	-208.2249924257441	230.57534423315752	47
5	tanh	0.00017804275261178572	77	invscaling	0.0005504300884900476	0.7065918400511442	0.6035268857563291	0.010544617678394536	1.5*median	-38.06154270619376	-226.447566809197	-2.738179944716878	-180.23581795616275	-0.9932375135136616	-89.6952689859568	94.86243659021243	38
6	tanh	0.00034782024575460144	41	adaptive	0.00101838099932791	0.7804651207139413	0.5598806207331593	0.004384405622145092	mean	-37.87940115071126	-226.37916660183893	-2.3104525686137944	-180.16871021569517	-0.5009283585453675	-89.44773177908091	95.02025653706372	12
7	relu	0.00018914159085848362	19	constant	0.002340226257800385	0.8315035092082674	0.4425960039946414	0.23075567409330278	0.5*median	-21207.565415093315	-222.6587919935163	-2.501524552056573	-178.26213666928618	-0.5094651261936555	-4322.2994666868735	8443.113504875506	57
8	tanh	0.008858425920279914	53	constant	0.00545837229653962	0.5646326070671654	0.4135330430707381	0.04295372867694737	0.5*median	-37.971996366610476	-225.97165118221508	-2.4733033219815397	-179.8943990174925	-0.6463936732151759	-89.39154871230295	94.78327341058707	8
9	tanh	0.0002473613981812633	39	constant	0.00015530902955281255	0.8595027355001967	0.3816719390139972	0.04903613515074718	median	-38.00702404755232	-226.3300495314754	-2.137640421753118	-180.05035925708128	-0.8040301455859268	-89.46582068068962	94.94472885545204	14
