	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	87	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	0.010935428769785142	mean	-2.97959160381112	-2.944034348805028	-5.454966742421799	-3.595698996803771	-3.4900979597337787	-3.692877930315099	0.9192458361597657	29
1	tanh	0.003830843272289773	68	constant	0.0006107797357476622	0.8034486903225296	0.5706220912688632	0.05238420616081357	1.5*median	-2.8161265113953915	-2.830371613964485	-5.380197642272851	-2.855962030829803	-2.973003196838327	-3.3711321990601713	1.0060521143051497	12
2	relu	0.06217532428346601	73	constant	0.0015889046459932454	0.9275582751861405	0.26121201531467536	0.02283894490947232	1.5*mean	-2.556597069595966	-2.619362038208617	-5.27147794558165	-2.914746886923328	-2.7612896633800847	-3.2246947207379293	1.0308167251623728	4
3	relu	0.00025090443458586733	119	constant	0.0005187408891296835	0.5870100305265843	0.1703317801907238	0.015687369617193636	1.5*mean	-3.202876551009757	-2.9506585187655157	-5.004482257530435	-4.674905414268581	-3.5376560908735524	-3.874115766489568	0.8167659334406333	34
4	relu	0.07140769780766253	43	adaptive	0.0003572970377280978	0.7009276527605308	0.7705396102353652	0.0027850547577161155	mean	-3.112624236976639	-3.055486582929377	-5.7497991120332035	-3.4986649977740285	-9.307960308398393	-4.944907047622328	2.395949542417697	52
5	tanh	0.00017804275261178572	117	invscaling	0.0005504300884900476	0.7065918400511442	0.6035268857563291	0.010544617678394536	1.5*median	-3.402674135001024	-3.560738153744247	-5.469516739788941	-3.96389078563893	-3.899518351561608	-4.05926763314695	0.73526400461782	42
6	tanh	0.00034782024575460144	51	adaptive	0.00101838099932791	0.7804651207139413	0.5598806207331593	0.004384405622145092	mean	-2.528465624871015	-2.92043523475208	-5.425012258301799	-3.013233594617637	-2.775051993918299	-3.3324397412921654	1.0590142111629905	9
7	relu	0.00018914159085848362	29	constant	0.002340226257800385	0.8315035092082674	0.4425960039946414	0.23075567409330278	0.5*median	-4.498189249770983	-3.076995373378299	-5.545479807588358	-3677448.102317672	-2.813756040557431	-735492.8073476288	1470977.6474853544	60
8	tanh	0.008858425920279914	63	constant	0.00545837229653962	0.5646326070671654	0.4135330430707381	0.04295372867694737	0.5*median	-2.818936997002933	-2.4027279906047143	-5.221804027849234	-3.1975576584341137	-2.883753051250965	-3.304955945028392	0.9913105004878248	7
9	tanh	0.0002473613981812633	99	invscaling	0.0008433207538577568	0.8338312403075601	0.4400776600962276	0.002183025170196347	median	-3.480042944099182	-3.187827870976873	-5.565480208159584	-3.3818393504990873	-3.4966682371074986	-3.8223717221684446	0.8784547359976178	33
10	relu	0.00155429493108744	120	constant	0.00799230929029316	0.6160795703653567	0.46391718046687735	0.14138318093283284	0.5*mean	-2.5501319884232263	-2.6953202908262814	-5.336444748839573	-2.9229218261194507	-2.945643653773201	-3.2900925015963467	1.0336645855647753	6
11	relu	0.00021380437782030936	54	adaptive	0.00595083493209499	0.8037134464400544	0.6603353342989244	0.2119789296243593	median	-2.7665274513698535	-2.910339019607551	-5.759514243014202	-61.579680954990764	-2.5525982104928637	-15.113731975895046	23.26260580678965	54
12	relu	0.0014378415197380937	112	adaptive	0.0039221293632397585	0.8227590045238535	0.20300330035918512	0.042835053510240736	median	-3.0068114883911288	-2.7118985988062905	-5.4058696307032825	-2.997910050358413	-3.1459392221604885	-3.453685798083921	0.9862460241971395	16
13	tanh	0.0011781806480761514	117	invscaling	0.0007168192605234181	0.7699344968945508	0.6097128982029936	0.10821323080702568	median	-3.7165113730742836	-3.3755620977100826	-5.38425385108672	-3.7367826103740387	-3.655874772390532	-3.9737969409271314	0.7170383231900188	36
14	relu	0.00010505816860794135	56	invscaling	0.007571562532681441	0.5958133592728447	0.6693073892998659	0.00999738616891198	1.5*mean	-3.4163653850298004	-6.4698610674469395	-6.051851684936897	-127.65340864355167	-3.8736575844717382	-29.49302887308741	49.094520599244184	57
15	relu	0.000361407085954778	97	constant	0.0014510915716710925	0.7011196431488789	0.6586569849912451	0.022296021595279873	1.5*median	-4.026327951368144	-2.6687991723656923	-5.590850963511731	-3.1630786822711787	-2.6158470145056656	-3.6129807568044825	1.1109449040278625	24
16	tanh	0.022217257776388315	54	constant	0.0002761590822711846	0.7477443706887075	0.46581377448586947	0.0161334264435812	median	-2.4501731157930395	-4.256144062844384	-5.549427467808098	-3.212538379664924	-2.93297764314232	-3.6802521338505527	1.1059600041537248	27
17	tanh	0.0038181885684900733	68	invscaling	0.0017654153660401802	0.7833006206802158	0.7369810275991446	0.24225763991866958	1.5*median	-3.1632370661302627	-2.8046129822024506	-5.486882277925473	-3.949170219315218	-3.16555404650352	-3.713891318415385	0.9622405173080931	31
18	relu	0.00031238720293502823	72	adaptive	0.007746577286361521	0.6545260315695591	0.5935492584472161	0.014016085065204216	0.5*median	-2.7495370018740233	-2.6438901619584945	-20.075273686614867	-786.0268043348271	-2.9415747794583784	-162.8874159929466	311.6417190535354	59
19	relu	0.00013623816408395034	27	invscaling	0.000528729199610515	0.5286300285643484	0.20464041232696129	0.0011414196733690479	median	-4.548598879680516	-3.0939061474248537	-6.670596149407128	-3.7338102423639032	-3.7113716052392727	-4.351656604823135	1.2481908581978332	48
20	relu	0.012305172509398046	68	invscaling	0.000459954023154785	0.7656556344378509	0.7584629753774716	0.287531760000094	1.5*median	-69.90819879519796	-7.966100797642078	-10.313313339241962	-13.725803935561448	-4.071499624306273	-21.19698329838994	24.557661740677133	56
