	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	511	-45.008116368897085	-3111.601432693554	-23.73822701715724	-93.51862107997053	-36.8101920174537	-662.1353178354066	1224.9602064558392	7
1	10	0.2854860642042318	15	323	-51.069201793664874	-3111.8199304862464	-25.07754270016994	-93.9240304336056	-41.68614123627496	-664.7153693299924	1223.763626934358	44
2	11	0.12210780650989218	11	518	-50.68509397674602	-3111.774740985591	-24.934316574800963	-93.92558562737393	-41.339746466746355	-664.5318967262517	1223.8341814944422	39
3	11	0.3161422215831339	5	732	-46.34704606959139	-3111.2746730581653	-24.123510961628025	-93.63300101821699	-36.68298753231968	-662.4122437279842	1224.6569283618942	10
4	10	0.2404036920490297	12	611	-50.71776798069211	-3111.7529877574784	-24.734281573457753	-93.83190063306614	-40.8869771187665	-664.3847830126922	1223.8979699690417	34
5	13	0.47023751452725704	13	491	-50.55950171068731	-3111.77436018055	-24.48790351601933	-93.724353863579	-40.88726842428674	-664.2866775390246	1223.9581416662975	31
6	8	0.8502138809685273	17	551	-51.48550619206996	-3111.7924407773908	-24.66704479529821	-93.8440978795997	-41.28258297685249	-664.6143345242423	1223.8023789006677	40
7	3	0.7100592449330713	10	762	-47.095462904869684	-3111.7194358770753	-23.96192653662642	-93.62257755635142	-38.03285532094124	-662.8864516391728	1224.6394939281524	13
8	9	0.8112008085909854	10	643	-46.65961621228329	-3111.6792230378114	-23.94786098804066	-93.42668414657047	-38.57751162951582	-662.8581792028443	1224.6313851890106	12
9	6	0.24246528401097586	20	732	-51.5898019645671	-3111.8165966010642	-25.675162849964906	-94.09885966831393	-42.45488340720437	-665.1270608982229	1223.5530417073387	59
10	4	0.29359784243015324	13	392	-51.11254238567215	-3111.7327506400993	-24.701628878708792	-93.90130935223898	-40.94771400887316	-664.4791890531185	1223.841050269336	36
11	15	0.30019341048062986	11	533	-50.31340641711232	-3111.6208388679306	-24.37618681121329	-93.77420017898262	-40.181504021294174	-664.0532272593066	1224.0003752403866	26
12	6	0.27957986769158044	8	451	-48.2208517067332	-3111.644160260885	-24.270949857619804	-93.74523457618405	-39.98856251456374	-663.5739517831972	1224.2531614289476	19
13	15	0.37378798094705046	5	719	-44.18116604899686	-3111.505413354044	-23.8381656306286	-93.4566582429515	-37.9967647226809	-662.1956335998605	1224.8794868240163	8
14	4	0.22541269217047344	2	319	-44.23224946008411	-3111.699428072608	-24.640080930984663	-93.6174630084509	-39.25253836135265	-662.688351966696	1224.7254948056116	11
15	14	0.2878014501489614	2	423	-41.47165966862351	-3111.6376695312597	-24.19936244176015	-93.5857666108949	-36.99716004899481	-661.5783236603066	1225.258518682659	3
16	12	0.8061637563408413	18	683	-51.45712340906796	-3111.7163786566334	-24.849538047905344	-93.95718424036507	-41.33743662760464	-664.6635321963154	1223.7395831850492	41
17	5	0.31912082340829934	19	321	-51.668234935824216	-3111.8734371594905	-25.253713784915618	-94.04173678590813	-42.35771575003959	-665.0389676832357	1223.627192172149	57
18	10	0.33335440706481845	16	572	-51.64211899277162	-3111.7657512123105	-24.763023932150094	-93.92836684438845	-41.3735329410738	-664.6945587845389	1223.7488493284445	43
19	15	0.12366942622515488	10	693	-50.55168790477755	-3111.75421470567	-24.973180180788663	-93.93622511230895	-40.819951163831945	-664.4070518134755	1223.8872542780125	35
20	15	0.48375885085447123	15	424	-51.10766764397511	-3111.773583149061	-24.698279044448583	-93.79243368828128	-41.143583535122055	-664.5031094121775	1223.8484166313349	37
21	7	0.4818522090824013	16	615	-50.946295307337564	-3111.7829026749782	-24.603854770980337	-93.91643331138516	-41.38998439933684	-664.5278940928035	1223.8415359165479	38
22	6	0.4457782270011809	12	756	-49.86402263049133	-3111.6773668243745	-24.376286627870652	-93.82771424626	-40.23377377036739	-663.9958328198728	1224.057737675101	24
23	13	0.9225098235489568	12	795	-48.32926204939434	-3111.668215053894	-23.648584329104786	-93.63160994966455	-38.68036506376136	-663.1916072891638	1224.460825246525	15
24	10	0.4562819829753127	8	431	-47.80280804687495	-3111.690816745396	-24.112747693714475	-93.6843514019634	-39.47451227047887	-663.3530472316855	1224.3884139058912	18
25	15	0.340845523137088	9	354	-49.36966411799592	-3111.711980122927	-24.042785868579145	-93.81281563343823	-40.000553046578034	-663.7875597579038	1224.1812065786942	21
26	9	0.6293539579471764	13	775	-49.963412668780165	-3111.692324811498	-24.392212447124095	-93.75128846355467	-40.67476361056649	-664.0948004003047	1224.0142701630657	27
27	10	0.3176314440286965	16	497	-51.246410400379524	-3111.7777874654626	-24.974371671744212	-93.98389165458465	-41.70183210419581	-664.7368586592734	1223.7326072940255	46
28	7	0.14638662580602993	10	329	-50.631200393056275	-3111.7868268384213	-24.645112176400964	-93.91888117697086	-40.85130721448811	-664.3666655598674	1223.9250311763005	32
29	13	0.3310409246532608	3	312	-42.98052035907429	-3111.4800796775758	-24.04328846917321	-93.44530241062316	-35.966718140485646	-661.5831818113865	1225.1773576228989	4
30	9	0.2888220167263865	11	410	-50.35416109063059	-3111.6243295679865	-24.376847855820905	-93.79511390972978	-40.98200904926927	-664.2264922946874	1223.9141002324043	28
31	7	0.4730627693599007	7	534	-47.296137714911914	-3111.6336622992026	-23.786241781772485	-93.58080226752581	-38.86705833261573	-663.0327804792057	1224.5221462367213	14
32	4	0.17255924759088329	18	738	-51.65021715776295	-3111.781624144963	-25.518335162221064	-94.11416056200335	-42.54812855302763	-665.1224931159957	1223.5384727049352	58
33	15	0.18904407593690284	16	721	-51.60101103117397	-3111.745477008715	-25.407714554380497	-93.99138180810104	-41.8688957606428	-664.9228960326027	1223.621119949064	53
34	12	0.6944318642240471	5	775	-44.404771799535894	-3111.2805351921047	-23.75498860547442	-93.29859162094003	-36.707318112385465	-661.8892410660881	1224.9218643745182	5
35	15	0.11728759200452075	7	676	-49.06047834146662	-3111.6892831725395	-24.795358211831143	-93.6486922791879	-40.73478742345956	-663.9857198856969	1224.065043594186	23
36	4	0.2980126425536631	12	776	-50.03498163552957	-3111.7628393801697	-24.609188785461367	-93.92680141749531	-40.97295858077729	-664.2613539598867	1223.965879887471	30
37	11	0.11004568081776996	13	376	-51.4715858732359	-3111.753594665603	-25.20059351834645	-93.98086086066577	-41.729869731338184	-664.827300929838	1223.674132431337	51
38	7	0.24660481829688163	10	530	-50.14018829207968	-3111.7466364250413	-24.182129982696694	-93.82629635119945	-40.21140523227243	-664.0213312566577	1224.0804411780657	25
39	14	0.40529453845161223	17	689	-51.40393512309854	-3111.6945538036503	-25.2064175114399	-93.9482126467534	-41.78839975049561	-664.8083037670875	1223.653779255069	50
40	6	0.649116298687579	2	345	-41.47660623724424	-3111.5977812771343	-23.452758169894356	-93.61992539773713	-36.453163998128375	-661.3200470160276	1225.3720736045902	2
41	11	0.3501642892173135	15	345	-51.40371941628822	-3111.86805730583	-25.06312894634423	-93.81511555553443	-41.31357159278919	-664.6927185633572	1223.7989496180726	42
42	12	0.6056617559343601	3	395	-42.65966553412386	-3111.560015738802	-23.82061514516355	-93.41120240767239	-34.66883489056829	-661.2240667432661	1225.4006894856254	1
43	3	0.16618034849860697	19	565	-51.91857454956926	-3111.8734974058616	-25.712133870336093	-94.15728524564517	-42.30487394300184	-665.1932730028827	1223.548786158618	60
44	12	0.9443645612957102	12	301	-48.96890344981736	-3111.7148595303397	-24.52126990926565	-93.59772942566227	-39.645664859457796	-663.6896854349086	1224.2288131013179	20
45	3	0.9648631773837126	18	794	-50.678719117809	-3111.9059618187866	-24.99578367780381	-94.04674205168448	-42.05858420975216	-664.7371581751672	1223.796396781644	47
46	4	0.27639472018995764	19	364	-51.76054026422752	-3111.796815472433	-25.404898460447225	-94.10448110353255	-42.042137938222226	-665.0217746477726	1223.5977585895148	55
47	13	0.14618329436079053	9	547	-50.1988658069777	-3111.7540915405707	-24.714840812456163	-93.87048619822255	-40.642678481678466	-664.2361925679811	1223.9737884130845	29
48	4	0.10852475269098574	13	554	-51.247649042259724	-3111.7608049739056	-25.28738095873571	-94.04184518256008	-41.58822622812836	-664.7851812771179	1223.699133244594	49
49	6	0.3376234130253512	8	541	-48.04660642995819	-3111.699715883806	-23.990392190941947	-93.64652241794916	-39.30998860833476	-663.338645106198	1224.400530304279	17
50	3	0.1157769983230333	13	476	-51.2598505349345	-3111.7884554224306	-25.476418319552646	-94.08107770806933	-42.043044235867875	-664.929769244171	1223.6392350757123	54
51	3	0.3294428428224735	15	740	-51.09614432585799	-3111.8123600688905	-24.921007532035972	-93.93393176496647	-41.8753016623079	-664.7277490708118	1223.7540814527479	45
52	5	0.26733356690634685	12	305	-50.77606697193869	-3111.77012280645	-24.6385656862422	-93.88491121906416	-40.81680124182018	-664.3772935851031	1223.9111905483976	33
53	8	0.10275211894245509	12	662	-51.19933819034794	-3111.7824963065077	-25.319461027119555	-93.98251560654492	-41.53739894122283	-664.7642420143486	1223.7200115306912	48
54	3	0.9830095095329656	6	712	-43.7640733438277	-3111.7767449273865	-24.128862923804952	-93.46258367188423	-37.33519713777217	-662.093492400935	1225.0667095718604	6
55	14	0.11795496076270207	15	790	-51.49724332811627	-3111.7587612342268	-25.586729664944684	-94.08453595685977	-42.24719389373648	-665.0348928155769	1223.5709147336165	56
56	7	0.12804152102694297	8	392	-49.84021927460737	-3111.6203633484834	-24.455735420392216	-93.79689651915736	-39.85771339099176	-663.9141855907263	1224.0702334447674	22
57	13	0.15404327287601552	15	347	-51.39320965303116	-3111.7965810796063	-25.148130341135495	-94.00766521904637	-41.81297184481285	-664.8317116275264	1223.69370303874	52
58	6	0.35183288999717616	4	691	-44.966166365344634	-3111.615161450822	-24.328405938623632	-93.49617489157693	-36.87385486027904	-662.2559527013293	1224.9040143516245	9
59	4	0.16362365325910813	2	631	-46.595515645451584	-3111.638770309633	-24.90284133240262	-93.73564238653391	-39.35920353840464	-663.2463946424851	1224.4136350110005	16
