	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	233	-37.633657121721605	-225.91690336098017	-2.484666662472992	-179.85985465900936	-0.3472307415458513	-89.24846250914598	94.85163206493499	9
1	10	0.2854860642042318	15	173	-38.085682744265426	-226.41329283440416	-2.4395307967217588	-180.08109895038945	-0.32449432848430293	-89.46881993085303	95.00043000889501	40
2	11	0.12210780650989218	11	240	-38.0766511968992	-226.3574110775273	-2.446917711480438	-180.07935408846305	-0.32134438565173634	-89.45633569200434	94.9842022404854	35
3	11	0.3161422215831339	5	198	-37.9481683391041	-226.1071186306839	-2.477613431256338	-179.83480396049796	-0.34988219544472743	-89.3435173113974	94.86831910525186	11
4	10	0.2404036920490297	12	205	-38.08119765590757	-226.37672085280764	-2.4436589372552473	-180.08150615468185	-0.324459048946738	-89.46150852991981	94.98969988198563	37
5	13	0.47023751452725704	13	213	-38.08385423394138	-226.3552815741383	-2.441572866118128	-180.0701406705172	-0.3293481172717967	-89.45603949239737	94.98052826851988	34
6	8	0.8502138809685273	17	211	-38.09487764369188	-226.40467418107713	-2.442839158408477	-180.09357269479895	-0.33982137625132863	-89.47515701084556	94.99584775225566	50
7	3	0.7100592449330713	10	228	-38.07734737228059	-226.25080228449775	-2.44705841344252	-180.03825815755732	-0.3417060887214533	-89.43103446329994	94.94170795782604	17
8	9	0.8112008085909854	10	237	-38.062588322814705	-226.2588644837598	-2.4554729220378717	-180.00866000420828	-0.3722892321122016	-89.43157499298658	94.9326992998044	18
9	6	0.24246528401097586	20	198	-38.09773005262579	-226.41799271642563	-2.4446666299115924	-180.11091160494175	-0.3144870286913951	-89.47715760651923	95.0071066503706	53
10	4	0.29359784243015324	13	242	-38.07796392306582	-226.3374301686496	-2.4413864561804526	-180.07967835313818	-0.33063336407009963	-89.45341845302082	94.97763263973046	30
11	15	0.30019341048062986	11	185	-38.0758720388792	-226.3467115254916	-2.4525206867006024	-180.03395273773185	-0.32517572231490505	-89.44684654222364	94.97079425120718	23
12	3	0.587012712467264	1	171	-55.65776985443542	-225.24852729908363	-2.4666118791055895	-180.00651769181505	-0.30967488283349076	-92.73782032145462	92.99644755573433	60
13	7	0.2836892848880621	4	241	-37.77029083822762	-225.75049043810085	-2.480107486233882	-179.77724021192788	-0.31838135742145246	-89.21930206638233	94.77928876609568	8
14	4	0.23461246524642448	5	169	-37.97929665150831	-225.8615886432244	-2.463298887982681	-179.85215117150852	-0.33312542130479206	-89.29789215510573	94.80326110091036	10
15	4	0.26227519927176973	6	223	-38.02078265267384	-226.1286451228612	-2.4664427089108654	-179.9775091929167	-0.32321652804138445	-89.38331924108078	94.90094508455087	12
16	4	0.5509584813680587	3	233	-37.242972653568636	-225.51727270512464	-2.5921380343897424	-179.72339385048642	-0.33283964458030413	-89.08172337762994	94.7360969849872	3
17	5	0.42000631841599434	4	225	-37.7686466599081	-225.55505338835147	-2.4909243719898724	-179.82687148534424	-0.3398004929780448	-89.19625927971435	94.72667344405318	6
18	13	0.2542137624346864	13	243	-38.08632296840217	-226.37047159852764	-2.4420666402155007	-180.09227522495084	-0.32316634162368135	-89.46286055474397	94.98993319027495	38
19	14	0.5121467177183854	13	217	-38.0760647426029	-226.31837099458215	-2.4339584160084473	-180.069896081507	-0.3376102095776266	-89.44718008885563	94.97052936117873	25
20	15	0.30861914435616555	16	209	-38.09292205829336	-226.38588321231592	-2.4476695226404312	-180.09934058985803	-0.3306027009757802	-89.47128361681669	94.9925878515739	44
21	6	0.4457782270011809	12	222	-38.0816037579158	-226.32462589226378	-2.4439957420266993	-180.05247149637614	-0.327936680548835	-89.44612671382625	94.96838427511084	22
22	13	0.9225098235489568	12	237	-38.08830899640093	-226.2941612197531	-2.4492265573401015	-180.0845903987068	-0.340169463845924	-89.45129132720939	94.96175357362966	28
23	5	0.45889127367301447	13	226	-38.0772330061426	-226.35144454294047	-2.447850316469969	-180.05638819259354	-0.32856059376593927	-89.4522953303825	94.97651212053181	29
