	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_clusters	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	711	-2.467704460842442	-2.5466690381817876	-5.250843070561997	-2.9356552631436283	-2.7956155164936827	-3.1992974698447076	1.0394669677362305	1
1	10	0.2854860642042318	15	523	-2.6314279428114298	-2.672063810154295	-5.243976146208125	-3.1601494362907343	-2.9201193009465642	-3.325547327282229	0.9778486495592547	50
2	11	0.12210780650989218	11	718	-2.6035231336601434	-2.6415277692758488	-5.251527312136169	-3.148042038419892	-2.9261655721143605	-3.3141571651212827	0.9888342458606149	48
3	11	0.3161422215831339	5	932	-2.5104405043946287	-2.555902259543082	-5.250256554445775	-3.0503820145967686	-2.7854505886571186	-3.2304863843274747	1.027958734010577	5
4	10	0.2404036920490297	12	811	-2.57492645824871	-2.611293031117057	-5.260821367234606	-3.091360020129307	-2.9187212317346214	-3.2914244216928608	1.0033350189994745	38
5	13	0.47023751452725704	13	691	-2.5772838416585535	-2.625886635772552	-5.249240897400766	-3.071600397922117	-2.861070438422571	-3.277016442235312	1.0018454839021718	23
6	8	0.8502138809685273	17	751	-2.584238271753239	-2.633310997869457	-5.261059498230899	-3.0453995896711654	-2.8687489218901487	-3.278551455882982	1.0050912489792212	25
7	3	0.7100592449330713	10	962	-2.5477431633829157	-2.606057951385696	-5.261931250486754	-2.9866088381586198	-2.8710145998887886	-3.2546711606605547	1.0167191472730548	14
8	9	0.8112008085909854	10	843	-2.526151639696284	-2.5739315171658546	-5.265593417949735	-3.026991623382309	-2.901450732724852	-3.2588237861838065	1.0212220033298294	17
9	6	0.24246528401097586	20	932	-2.60732804449877	-2.690392409335122	-5.257034141466446	-3.164914056831569	-2.961715302350233	-3.336276790896428	0.9805613906652074	55
10	4	0.29359784243015324	13	592	-2.55248953731714	-2.690591529566586	-5.253704049976173	-3.0919816141178695	-2.87212757219986	-3.2921788606355262	0.9973114561441113	39
11	15	0.30019341048062986	11	733	-2.599262614197654	-2.5937865148977095	-5.262434088155411	-3.020190484660821	-2.953752882232199	-3.2858853168287587	1.003802991705795	30
