	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__estimator__l1_ratio	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	0.6811610624632548	0.05943265096288464	median	-46.35681305034822	-3111.653663190997	-25.058515689632724	-93.58936444479598	-37.89056414699515	-662.9097841045539	1224.5908016685028	12
1	10	0.31704467527229796	15	0.3382182312670091	0.01064219533490505	1.5*mean	-50.74888241342023	-3111.8437570305796	-24.884966634291004	-93.78458883090256	-40.83830441267877	-664.4200998643744	1223.924772973515	43
2	3	0.6364129907849219	13	0.327203054878015	0.13985151054805667	0.5*median	-50.05366346363821	-3111.954580995235	-24.763341863779512	-93.83377090952344	-39.82682881051205	-664.0864372085377	1224.1500626098239	33
3	15	0.16345016133082763	6	0.6408502835418209	0.027933280914693152	mean	-47.40815005652571	-3111.745487315299	-25.09889503994135	-93.40060899692607	-38.90496277506643	-663.3116208367518	1224.4315581734463	21
4	14	0.17984321698867015	3	0.2668888514229388	0.08548067057954285	1.5*mean	-47.13525735604853	-3111.5442075662586	-24.533725083798014	-93.28343124780832	-37.74341488938913	-662.8480072286604	1224.566858302926	11
5	12	0.2810773144205925	4	0.5120401547574486	0.13697251458973467	mean	-45.407882265076864	-3111.5972030684106	-24.457948456178826	-93.27724074468395	-37.561747733340795	-662.4604044535382	1224.7889460921533	5
6	3	0.16026883878646525	13	0.3188839091674411	0.06472770996004104	0.5*mean	-50.4868201229783	-3111.917227481199	-24.98065309551408	-93.99398073467513	-40.746702576801326	-664.4250768022337	1223.960255195931	45
7	12	0.6885222737947579	8	0.2963906271036814	0.09394491198697776	1.5*median	-48.29917563145908	-3111.807340931331	-25.18790650520248	-93.75940242374104	-39.24415691791621	-663.6595964819301	1224.2894100217627	24
8	7	0.2836892848880621	4	0.29498839522091125	0.030222635626873662	0.5*median	-46.00468490027072	-3111.7629958817533	-24.927528432491762	-93.54131986473612	-38.38875243680561	-662.9250563032115	1224.637275172377	13
9	7	0.2712327730471813	6	0.5404880206230628	0.038305847016325154	0.5*mean	-48.330712178879786	-3111.7559728203696	-25.027545730307768	-93.45378217578693	-37.47054821117952	-663.2077122233047	1224.4919578169633	18
10	6	0.2669645359194208	4	0.27670530642694635	0.0488001375300528	1.5*mean	-47.47563124106222	-3111.6861365624213	-25.07832686050126	-93.35706090294482	-36.12134926451728	-662.7437009662895	1224.6916099455634	8
11	14	0.5121467177183854	13	0.4715358483594447	0.17847928556356013	1.5*mean	-50.19756328688863	-3111.7621986485206	-24.635880960653328	-93.68368280700673	-39.361775408646146	-663.928220222343	1224.133430364361	29
12	8	0.8994797822013708	4	0.4510189819453671	0.08851744370688429	0.5*mean	-45.46464198242715	-3111.625895097486	-24.400973808780424	-93.21510543946096	-36.733726723703306	-662.2880686103715	1224.890945813337	4
13	13	0.13919640395169983	16	0.5789190006291788	0.06345477405160908	0.5*median	-51.4067940615244	-3111.840965759407	-25.15633018642137	-94.01654452790696	-41.90625858618073	-664.8653786242882	1223.6989075986087	56
14	15	0.340845523137088	9	0.22544572509907854	0.22766621473979362	1.5*median	-48.84715881537776	-3111.6258665574396	-24.94954809488785	-93.72996764160308	-38.846435531517294	-663.5997953281651	1224.2299595168793	23
15	15	0.4813399971756929	18	0.3002893344148419	0.032389385398082726	1.5*mean	-50.96392938284741	-3111.8618088337935	-24.967687106986798	-93.87223033382512	-40.62139793282539	-664.4574107180556	1223.915721369988	46
16	12	0.2599571533355433	1	0.527993441190269	0.22544671541972874	1.5*mean	-42.37818020119269	-3111.292084292751	-23.644489425633175	-93.33972384345043	-36.41964325215453	-661.4148242030363	1225.1680906638248	3
17	9	0.2888220167263865	11	0.607820803709889	0.14017376723616568	0.5*mean	-49.55335429301907	-3111.6993057892114	-24.92391107803174	-93.68986269135507	-39.647265511576784	-663.9027398726388	1224.113128913816	28
18	4	0.17255924759088329	18	0.5990388631277325	0.029503420178354927	1.5*mean	-51.36996745119803	-3111.857468937618	-25.33947400041067	-94.02128635061429	-41.78587409605915	-664.87481416718	1223.7018704303084	57
19	9	0.6262690606472394	10	0.5740289400099701	0.21708593077274352	1.5*mean	-49.2779066537384	-3111.6841215741515	-25.051765011180645	-93.42109465210049	-38.98241059390395	-663.683459697015	1224.2142321796264	25
20	12	0.313340878269026	2	0.3622813147728513	0.4009676797605333	1.5*mean	-41.9439991802855	-3111.5775808337276	-23.421114166741987	-93.21577317040884	-33.10437730226315	-660.6525689306853	1225.6997091615774	2
21	11	0.11004568081776996	13	0.20179779824724572	0.05176113067418423	1.5*median	-50.94875601376499	-3111.7672702474397	-24.843260151308858	-93.97722135134217	-40.58757702326647	-664.4248169574244	1223.886096832095	44
22	13	0.11363169975776118	16	0.554011152026331	0.04850503513604977	1.5*mean	-51.47553758945585	-3111.861099242562	-25.522241465174783	-94.0006806980425	-41.92697794396911	-664.9573073878408	1223.6611878267145	58
23	3	0.1534613052673549	14	0.26693158303629666	0.13179239331487608	median	-50.933430903239696	-3111.882452970254	-25.346704830666425	-93.92877791223536	-41.27480379028538	-664.6732340813362	1223.8155706772823	51
24	11	0.3501642892173135	15	0.24732182152416177	0.21329740096277908	0.5*mean	-50.85770752778891	-3111.8022794253516	-25.01463125975338	-93.74285797160292	-40.54905327533027	-664.3933058919654	1223.9170959669445	42
25	3	0.16618034849860697	19	0.5427824064461668	0.4536626949245679	0.5*median	-51.588862354373234	-3111.8853854077192	-25.574676955854635	-94.04217521224739	-41.82357618475639	-664.9829352229901	1223.6607167257744	60
26	4	0.1476049980473771	17	0.6865091681046406	0.11459818610280895	median	-51.38562249154018	-3111.882403418928	-25.309285854820516	-93.95962480405201	-41.50111480648749	-664.8076102751656	1223.748184479332	55
27	8	0.8127797906579691	19	0.5767070798566092	0.019314999279896397	1.5*mean	-50.37075679611697	-3111.8243266260997	-24.765795848445123	-93.778822631407	-40.58940633046704	-664.2658216465072	1223.9932807011685	38
28	13	0.8801464245431846	9	0.24583689730697403	0.011491120363917669	1.5*mean	-48.1869288184596	-3111.7202242600783	-25.050389184418993	-93.65736122309396	-37.34571495298886	-663.1921236878081	1224.4835397264706	17
29	6	0.3376234130253512	8	0.44504603968082607	0.2924300909312848	1.5*mean	-48.63264506864988	-3111.631812954313	-24.92269834237922	-93.40047905444311	-37.1739370060966	-663.1523144851764	1224.4581989184674	15
30	3	0.10548491763332951	10	0.30149196532232364	0.014716778943398165	0.5*median	-50.174758818354995	-3111.910202548804	-25.289653927296406	-93.95612616510249	-40.51324564964236	-664.36879742184	1223.9838041023168	39
31	8	0.21446538722012576	10	0.29095343692084435	0.011647198660569144	1.5*mean	-49.762665057231075	-3111.802347502537	-24.85540264361152	-93.74433493637937	-39.7446614367464	-663.981882315301	1224.1254757603085	30
32	8	0.35600252955067097	18	0.3062316176274142	0.025863296670896634	mean	-51.07649106273134	-3111.820988361503	-25.032562439815056	-93.9669953401954	-41.43968077926094	-664.6673435967011	1223.7891122138342	50
33	10	0.7348505678070261	19	0.5967584271687965	0.010980206920937012	1.5*median	-50.72513287278214	-3111.8484830921643	-24.847526673843426	-93.84711590973137	-40.69269976782621	-664.3921916632694	1223.9419655909448	41
34	6	0.35183288999717616	4	0.47686467594730075	0.023084373048515332	median	-46.82377884693265	-3111.6531377284336	-25.14954262152216	-93.57905420359984	-37.513028103343416	-662.9437083007663	1224.5736139636563	14
35	14	0.5494053922538535	7	0.3376794223262855	0.020332952484713635	1.5*median	-47.117102219145835	-3111.748016716045	-25.021761354379112	-93.68104009062012	-38.286791601981456	-663.1709423964343	1224.5068681626744	16
36	15	0.20751231812349685	17	0.4741471014667022	0.09424037000022051	1.5*mean	-51.35590721909214	-3111.83062053543	-25.150621460601368	-93.97533534731402	-41.47378878491349	-664.7572546694702	1223.7483560356216	53
37	14	0.2471998779566016	2	0.6322230363870981	0.2552149644067081	0.5*mean	-39.91218270770677	-3111.5906703496003	-23.35336940633648	-93.09649590076843	-34.91813539382848	-660.5741707516481	1225.743033462156	1
38	15	0.23414555396206432	12	0.26928445927503836	0.3962714531837571	0.5*mean	-50.53267947091247	-3111.822483155506	-24.701896688839252	-93.69515805267486	-39.79058517172055	-664.1085605079305	1224.0722261923827	35
39	12	0.11265736100565166	6	0.45158971680043675	0.10278799742604114	1.5*median	-48.64961830427207	-3111.73403664923	-24.92896255204518	-93.65807860248438	-40.14588629284429	-663.8233164801752	1224.169392178749	26
40	3	0.5556786024227276	15	0.2015535987078746	0.18171466457169635	0.5*mean	-50.69135653235115	-3111.9302787502907	-24.82406988964601	-93.89240777034603	-40.52373213339868	-664.3723690152066	1223.9935164390686	40
41	15	0.7494015139263581	17	0.6771220309713165	0.4199212255713279	1.5*median	-50.11547620398944	-3111.871934531328	-24.55605282650914	-93.7835602922923	-40.29833658476973	-664.1250720877778	1224.0890697039933	36
42	12	0.39231718237649515	8	0.24083101968221823	0.022535545036148564	1.5*median	-47.64653859909557	-3111.7080270822667	-24.887808687064933	-93.60194205688741	-38.686788233846734	-663.3062209318322	1224.4181245780592	20
43	9	0.18517738973819658	10	0.25312268649473	0.033319303947945675	0.5*median	-49.862407301751595	-3111.771223894506	-24.72424947859599	-93.78985819319067	-39.328308985823654	-663.8952095707737	1224.1549497481594	27
44	8	0.3945019190083178	1	0.35127041945134735	0.0459225425217478	0.5*median	-46.08314238535779	-3111.723725682648	-24.432653368510458	-93.60587176672483	-38.38888141338771	-662.8468549233257	1224.6592306087184	10
45	14	0.1272656803589481	14	0.5132130877832274	0.3915294300764291	1.5*median	-50.67623579000341	-3111.842697773617	-25.32760970190799	-93.86205958954218	-41.5423982675622	-664.6502002245265	1223.8064355253027	49
46	6	0.5961117415001431	14	0.5637994009777336	0.09696187521313222	median	-50.321788435307255	-3111.8429718592397	-24.618906185451248	-93.77243563430204	-39.57926136076032	-664.0270726950121	1224.1245913466455	32
47	11	0.32601936698965983	11	0.407921931313051	0.4729156518701357	0.5*mean	-50.00397446463325	-3111.8391401643494	-24.88821138665995	-93.51395687844851	-39.733253521766535	-663.9957072831714	1224.135184520172	31
48	10	0.4783750704193396	14	0.5696154256592584	0.01474987862470805	0.5*median	-50.408281160366556	-3111.8162553352904	-24.76951003817491	-93.80339172064777	-40.24884679539017	-664.209257009974	1224.0183242814603	37
49	15	0.20440643623366878	18	0.6100553834917599	0.022169472293525144	mean	-51.39474509439092	-3111.8516205115625	-25.31153173198725	-93.95387655611307	-41.419377135177925	-664.7862302058463	1223.7435873505576	54
50	12	0.11409157088140078	12	0.38286878569449817	0.1763332974073853	mean	-51.11827564382272	-3111.7874460836633	-25.19155432720727	-93.78147280492449	-41.09143316618917	-664.5940364051614	1223.8076733304702	48
51	13	0.38568355727010967	17	0.42317968578408466	0.03737757582546409	1.5*median	-51.14802206652173	-3111.8888898895734	-24.942240060240504	-93.82972996769205	-40.770778091094954	-664.5159320150245	1223.8994937152054	47
52	5	0.13053111584965574	4	0.32104088032815725	0.01942143417526958	1.5*mean	-47.479385322610085	-3111.697124013397	-24.991278623179454	-93.4474045885166	-39.392122753570185	-663.4014630602547	1224.3622420213726	22
53	9	0.7525444487996779	10	0.4371186735185244	0.14968065703333183	1.5*mean	-49.004939304210346	-3111.717724278678	-24.677086096617778	-93.67727331897173	-37.08869195914128	-663.2331429915238	1224.4637708842301	19
54	9	0.1513273754234445	16	0.27188557204454367	0.44188064643141	1.5*mean	-51.328983831657666	-3111.8758778167626	-25.259486306650583	-93.92196952260969	-41.3219674035219	-664.7416569762405	1223.7782212410082	52
55	6	0.19861555088982807	6	0.25778449543843757	0.37793289187783125	mean	-46.06273972773991	-3111.6261835406026	-24.41108833008763	-93.42726775001844	-37.31868004128718	-662.5691918779472	1224.7503297758624	6
