	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__estimator__l1_ratio	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	0.8842457772371495	0.49486928598061275	median	-37.64042243913399	-226.3122656441211	-2.4832183638234264	-179.91710239092126	-0.33260536194552415	-89.33712283998906	94.97881461489156	11
1	10	0.31704467527229796	15	0.5620248940504693	0.3052898925955041	1.5*mean	-38.091370768126886	-226.35563366018368	-2.46178557049447	-180.0865925985213	-0.323210670255981	-89.46371865351645	94.98040463927146	33
2	3	0.6364129907849219	13	0.5501072941161825	0.6293013047836737	0.5*median	-38.082042221377854	-226.4233040484937	-2.456284786158367	-180.09589547116744	-0.3258163510738138	-89.47666857565424	95.0032152253881	45
3	15	0.16345016133082763	6	0.8500090905188004	0.4003184003053136	mean	-37.94025458796017	-226.23827317165615	-2.461930316493562	-179.93365574412437	-0.32233678824412776	-89.37929012169567	94.93388975906791	13
4	14	0.17984321698867015	3	0.48213497722657633	0.5480465563264504	1.5*mean	-37.213201554662646	-226.22823353785637	-2.4624524342449625	-179.62110494428615	-0.3124844266105987	-89.16749537953213	94.95233279727934	4
5	12	0.2810773144205925	4	0.7350912023908542	0.6256359437180685	mean	-37.66712175551933	-224.3478357665047	-2.5281031485531993	-179.51364542092603	-0.3080817878513041	-88.87295757587091	94.32961957442065	2
6	3	0.16026883878646525	13	0.5410125864790469	0.5068733907407419	0.5*mean	-38.08417883031347	-226.35383383605415	-2.4524993643132302	-180.06903256188636	-0.3169811988394844	-89.45530515828133	94.98018359914786	25
7	12	0.6885222737947579	8	0.5159925454582257	0.562772635450251	1.5*median	-38.04008955178368	-226.37685416788486	-2.45922743097144	-180.01904008101243	-0.3253898520470708	-89.44412021673989	94.97924381581973	21
8	7	0.2836892848880621	4	0.5144110195027127	0.4092727648943349	0.5*median	-37.78000578752505	-226.1519692692057	-2.4703147238465886	-179.88060979938226	-0.31335726596330565	-89.31925136918457	94.91641917528904	8
9	7	0.2712327730471813	6	0.7612748311513485	0.43744092931956313	0.5*mean	-37.94610164981514	-226.22096472655957	-2.46128469053499	-179.83827275936622	-0.31988220914917453	-89.357301207085	94.91065241920174	12
10	6	0.2669645359194208	4	0.4935408215243548	0.4682204066960922	1.5*mean	-37.492018669073424	-225.81859445871353	-2.464236544208997	-179.80193025170956	-0.3164248966934904	-89.17864096407979	94.83717177867706	5
11	14	0.5121467177183854	13	0.6969062024329288	0.6739137224952801	1.5*mean	-38.0782051534935	-226.3208806880771	-2.4054056933892394	-180.07985139604776	-0.353508959206311	-89.44757037804278	94.97517079154998	23
12	8	0.8994797822013708	4	0.6771241499287644	0.5534458005203547	0.5*mean	-37.51663239847538	-226.05416526564957	-2.485197525385807	-179.28382958832736	-0.35752926561574844	-89.13947080869077	94.7921438158006	3
13	13	0.13919640395169983	16	0.7958879875974277	0.5040540080761271	0.5*median	-38.09432215527091	-226.41786358228345	-2.4457126192832046	-180.11681851567363	-0.31510164938337726	-89.47796370437892	95.00825805970553	47
14	15	0.340845523137088	9	0.4322430908081479	0.721590860895771	1.5*median	-38.06924655988464	-226.41149944389215	-2.458465065784795	-180.0440908909097	-0.31791157688449934	-89.46024270747117	94.99239892818287	29
15	15	0.4813399971756929	18	0.520375949951441	0.4173087580048519	1.5*mean	-38.09562662388092	-226.37752752343727	-2.461683497667172	-180.09772562519476	-0.33152749722233255	-89.47281815348049	94.98683736745194	41
16	12	0.2599571533355433	1	0.7498361203189261	0.7196083352042447	1.5*mean	-102.96774679593587	-183.9124716901737	-2.615646316612831	-179.23333709762855	-0.3046074885965077	-93.8067618777895	80.69589180617224	60
17	9	0.2888220167263865	11	0.8213866664516558	0.6297081947108943	0.5*mean	-38.06735072548984	-226.26250556649524	-2.450576859372378	-180.0778426392255	-0.6022342188695385	-89.4921020018905	94.90422586534028	57
18	4	0.17255924759088329	18	0.8136849146209381	0.40651387638057973	1.5*mean	-38.102627807120186	-226.39183181597872	-2.4510077915859028	-180.1105219998598	-0.3131916059065869	-89.47383620409023	94.99804271316214	42
19	9	0.6262690606472394	10	0.7915297403968043	0.7120117195563445	1.5*mean	-38.06593185308966	-226.4086388985513	-2.462428185581676	-180.06191100497853	-0.34226518096400915	-89.46823502463305	94.99003530519593	36
20	12	0.313340878269026	2	0.5875937369703672	0.8459057840088793	1.5*mean	-54.895060863156694	-211.58351699265205	-2.559723377709487	-179.69025407834096	-0.30591820316221147	-89.80689470300428	89.16265347063558	58
21	11	0.11004568081776996	13	0.4023238031532661	0.47603043750514024	1.5*median	-38.09259245995186	-226.40904012759125	-2.4475368633689394	-180.10953052207404	-0.3210405968437403	-89.47594811396597	95.00306214643383	44
22	13	0.11363169975776118	16	0.7735505866368133	0.46742352896395256	1.5*mean	-38.09333162773509	-226.37072744612684	-2.4477225775267626	-180.09577496490303	-0.34026708602947836	-89.46956474046424	94.98567089036536	38
23	3	0.1534613052673549	14	0.48218494497855574	0.6188989361807453	median	-38.09179900104734	-226.41464894836633	-2.4487841044971703	-180.12409188658623	-0.3182559762717517	-89.47951598335376	95.0078373766039	49
24	11	0.3501642892173135	15	0.45894779027499255	0.7085000512504006	0.5*mean	-38.09090219642134	-226.36602526667485	-2.4191719433602787	-180.0902473999225	-0.33402951014708665	-89.46007526330521	94.98992585717659	28
25	3	0.16618034849860697	19	0.7633651465490883	0.8757519699718151	0.5*median	-38.098377599146175	-226.42824762708307	-2.44533784083159	-180.11590710392778	-0.3174097339720698	-89.48105598099214	95.01027441256792	51
26	4	0.1476049980473771	17	0.888733625198147	0.5950724359046309	median	-38.09773113742174	-226.42906248063562	-2.446671978881043	-180.11314051470288	-0.3168208962997273	-89.4806854015882	95.0099175026592	50
27	8	0.8127797906579691	19	0.7939182366885226	0.36091836355118917	1.5*mean	-38.09734156511832	-226.37468158352317	-2.4692062644170916	-180.1079327510366	-0.35992122204457855	-89.48181667722795	94.98107209312799	52
28	13	0.8801464245431846	9	0.4571622052522095	0.3119412460845166	1.5*mean	-38.00421633286327	-226.18286561625374	-2.4689815227363154	-180.00862897860114	-0.35028509040838596	-89.40299550817257	94.9187612692492	14
29	6	0.3376234130253512	8	0.6713058579222955	0.7741476600788194	1.5*mean	-38.04616535076476	-226.16964879937515	-2.47186822698675	-180.00277730513648	-0.685318719734979	-89.47515568039964	94.84596243131644	43
30	3	0.10548491763332951	10	0.5217240371207671	0.33438598397038727	0.5*median	-38.08253393319231	-226.3758345558367	-2.4509639652796897	-180.08308645231332	-0.3178512640296941	-89.46205403413033	94.9895031901657	31
31	8	0.21446538722012576	10	0.5098452734608789	0.31312533990791996	1.5*mean	-38.05153772636126	-226.27593533101071	-2.4624142185520794	-180.05862306641038	-0.3242254447653244	-89.43454715741994	94.95609896525339	17
32	8	0.35600252955067097	18	0.527018586521166	0.39175554271352053	mean	-38.09805475954483	-226.3740221109693	-2.453775844337028	-180.09998783585488	-0.3151042855871647	-89.46818896725863	94.99052732018441	35
33	10	0.7348505678070261	19	0.8116784769593658	0.3079823982841698	1.5*median	-38.09743562438401	-226.4411826280419	-2.4550258780860763	-180.12042737353497	-0.32817030235743866	-89.48844836128087	95.0111730751983	56
34	6	0.35183288999717616	4	0.7019941649003755	0.3794475623028599	median	-37.66562524458583	-226.22491626592287	-2.4684678480788924	-179.92198536471028	-0.3260996338033829	-89.32141887142025	94.9557299067708	9
35	14	0.5494053922538535	7	0.5614451584314176	0.36616185258620465	1.5*median	-37.96131561190655	-226.3900638446517	-2.4625679878936424	-180.0710132101954	-0.33807124975204234	-89.44460638087988	94.99850816642423	22
36	15	0.20751231812349685	17	0.6994019456542226	0.5632691225816403	1.5*mean	-38.095708547682115	-226.37732753749876	-2.444010109366231	-180.10562182146492	-0.34126978671741304	-89.47278756054588	94.98968736202433	40
37	14	0.2471998779566016	2	0.8425842030234715	0.7451132694310701	0.5*mean	-38.569731724392746	-225.6218091687988	-2.485145004151671	-179.66925491391763	-0.32498987059938006	-89.33418613637204	94.63314814596798	10
38	15	0.23414555396206432	12	0.4849319182404881	0.8431116820225986	0.5*mean	-38.07974677291316	-226.26788830906324	-2.435304645257052	-180.0650889170428	-0.3495840737831317	-89.43952254361189	94.95216963758963	19
39	12	0.11265736100565166	6	0.6776786806178681	0.5771713265191676	1.5*median	-38.00630687834298	-226.36127031699675	-2.454574891555021	-180.0180202897324	-0.3277838265919358	-89.43359124064382	94.97861639362007	16
40	3	0.5556786024227276	15	0.4020085848417242	0.677322304736613	0.5*mean	-38.086410066596706	-226.36872756233942	-2.4532309801260137	-180.0810201527933	-0.32445639774601726	-89.4627690319203	94.98498583368496	32
41	15	0.7494015139263581	17	0.8808481940770988	0.8569490585365608	1.5*median	-38.09149487771895	-226.4451067728315	-2.4527238889144485	-180.11761847270404	-0.3272904036039825	-89.48684688315458	95.01299805362918	55
42	12	0.39231718237649515	8	0.4511145201190334	0.37689214973804014	1.5*median	-38.02206912287518	-226.3775684344841	-2.461451774734735	-180.03168617303055	-0.31949974152497895	-89.4424550493299	94.98451058532223	20
43	9	0.18517738973819658	10	0.46588727128543467	0.4206392542125817	0.5*median	-38.067364292483944	-226.37548843589215	-2.4549309530373318	-180.0647341991906	-0.323238133944314	-89.45715120290967	94.98580541656189	27
44	8	0.3945019190083178	1	0.5759706313027539	0.4602966388942708	0.5*median	-60.09620359526162	-223.5973749212821	-2.6849870289293607	-179.64775282500656	-0.3227379951139825	-93.26981127311873	92.0778797473848	59
45	14	0.1272656803589481	14	0.7361807587695669	0.840266063572373	1.5*median	-38.09404689276592	-226.40859793693653	-2.4517342445951686	-180.11736227697136	-0.31651241296338534	-89.47765075284647	95.00435261789137	46
46	6	0.5961117415001431	14	0.7823701134521588	0.56779051036245	median	-38.088551637502086	-226.43538736822973	-2.448334162573235	-180.11295847847933	-0.3290529954668076	-89.48285692845022	95.01009885898584	53
47	11	0.32601936698965983	11	0.6345033814189007	0.8860337668015023	0.5*mean	-38.07688818331963	-226.3938785031703	-2.453586533832095	-180.07786322179166	-0.31788781142014555	-89.46402085070676	94.9938318688332	34
