	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__estimator__l1_ratio	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.35086483324841816	4	0.6811610624632548	0.011176724633638798	median	-2.4713031304501247	-2.5409901224855576	-5.225532900922566	-2.9853234833847915	-2.8724087573668164	-3.2191116789219714	1.0217291643829185	24
1	10	0.2240103954190444	15	0.3382182312670091	0.0010879532097768615	1.5*mean	-2.5515317781349465	-2.6056496658596724	-5.231542555004453	-2.9576920885563687	-2.955278172148061	-3.2603388519407006	1.0001326430992366	46
2	3	0.3645771768102103	13	0.327203054878015	0.03561676986796345	0.5*median	-2.5384236072492996	-2.567542756481504	-5.234323433925942	-3.02646091721364	-2.8688720830028056	-3.247124559574638	1.010427158407571	37
3	15	0.14097755086765734	6	0.6408502835418209	0.0040198803921612965	mean	-2.4383814232272063	-2.480965418564673	-5.240815235357098	-2.998437170267947	-2.877169411108096	-3.2071537317050045	1.0398645772136186	19
4	14	0.15071736890545592	3	0.2668888514229388	0.018284864926707008	1.5*mean	-2.4073771242250745	-2.582445162465417	-5.2352786524151185	-2.9103908000365184	-2.792262343471283	-3.1855508165226825	1.0393328421906036	7
5	12	0.20592817380652303	4	0.5120401547574486	0.034627372174852615	mean	-2.479490335864632	-2.4932072601877167	-5.225129096041551	-2.9338887558363207	-2.8624348037734104	-3.1988300503407263	1.0300093806233703	12
6	3	0.13905396264232314	13	0.3188839091674411	0.012546262714556685	0.5*mean	-2.5204209644799924	-2.609345734677625	-5.234593706675211	-3.024504925551251	-2.8987610909601558	-3.257525284468847	1.0055117391272337	44
7	12	0.38519402698726474	8	0.2963906271036814	0.02077916380472474	1.5*median	-2.4995785651446454	-2.531910083914729	-5.230154105963814	-2.9865197070896405	-2.9056540838389435	-3.2307633091903547	1.0184244168519794	30
8	7	0.20726388123892264	4	0.29498839522091125	0.004472461094427002	0.5*median	-2.478856263231007	-2.5109307941368297	-5.240815069074252	-2.950560631420397	-2.8442622104685618	-3.205084993666209	1.0342563408948253	17
9	7	0.20085986865131003	6	0.5404880206230628	0.006165315933280709	0.5*mean	-2.536441564033933	-2.5546478077034553	-5.22835997685397	-2.9442072420986554	-2.814411067198835	-3.2156135315777705	1.0182262316399628	21
