	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.35086483324841816	4	-48.14920226944438	-3111.6628992799438	-24.499622406862805	-93.61383296741977	-38.05479248156845	-663.1960698810478	1224.4534419370839	13
1	6	0.32039111104851736	15	-50.82226707768356	-3111.855294614077	-25.02762273739971	-93.90664255846652	-40.53101620110967	-664.4285686377473	1223.9270620449029	45
2	10	0.2240103954190444	15	-50.62618857378928	-3111.8448667362204	-24.874343117476663	-93.90091070233481	-40.92950870820065	-664.4351635676044	1223.91849331039	47
3	13	0.15403903706700303	8	-47.72347081351331	-3111.75484267739	-24.900428718697576	-93.69324236306794	-39.110291955452105	-663.4364553056241	1224.376098215082	19
4	9	0.2983742863918686	8	-48.07427429154719	-3111.717658879966	-24.72758040699141	-93.72907308551459	-38.59292209048012	-663.3683017509	1224.393434448621	18
5	15	0.188215284294123	7	-48.77349182260045	-3111.755000747045	-24.83451483767958	-93.73058340615911	-39.09238085099718	-663.6371943328962	1224.2758512118173	24
6	6	0.305567564911397	6	-47.52566567852669	-3111.7205092600966	-25.02348260745684	-93.73634802381476	-38.6337822773511	-663.3279575694493	1224.414028581633	17
7	11	0.4475948445391809	17	-50.891895707315484	-3111.8567515235204	-24.748316716796392	-93.84471441899096	-40.612377112518296	-664.3908110958284	1223.947331586434	44
8	14	0.15071736890545592	3	-46.83666508664057	-3111.594186097419	-24.714319443142873	-93.63795236424231	-38.07978600682956	-662.9725817996548	1224.5307480722586	6
9	11	0.13232980157079077	7	-48.292864886857885	-3111.613831104639	-24.84818855895134	-93.67067631619814	-39.55246213744337	-663.595604600818	1224.2249162494916	21
10	7	0.45224604837939353	4	-47.03389057526956	-3111.5663440767194	-24.81981127053936	-93.52963473261998	-37.469971940412734	-662.8839305191123	1224.561112248238	4
11	6	0.33459079010734066	17	-51.012193857009635	-3111.848981279064	-25.0019980055353	-93.86209743352963	-40.96964892990784	-664.5389839010093	1223.8676175110652	51
12	4	0.21229766543506445	13	-50.86526341798366	-3111.8819221340577	-24.97771312984308	-93.84497545630698	-40.59294982840384	-664.432564793319	1223.9380506941977	46
13	15	0.4622682428150517	11	-48.73353478045896	-3111.767896594784	-25.116399154845784	-93.7800038014612	-40.112508469586416	-663.9020685602271	1224.1469807545668	31
14	12	0.38519402698726474	8	-48.77433281224616	-3111.6764576514565	-24.60529682836774	-93.82776661807574	-39.39967683424057	-663.6567061488773	1224.2278872429677	25
15	10	0.13351155730868958	1	-48.117486578394264	-3111.6565274603036	-24.70460738116398	-93.60174912359419	-38.13327452583984	-663.2427290138592	1224.4258083806544	16
16	8	0.11438515289517169	2	-46.35784699601183	-3111.6870713654503	-24.886994064929844	-93.62515523307809	-38.66148174491869	-663.0437098808777	1224.5399476011169	7
17	6	0.16475058113465266	2	-45.64903650737601	-3111.624485893397	-25.15249955982032	-93.53091532558457	-39.26971020611604	-663.0453294984587	1224.5054529394486	8
18	6	0.44029814802306605	20	-50.95579903608051	-3111.8939815647113	-25.212941873908896	-93.89731641511385	-41.094843880567566	-664.6109765540764	1223.853183991832	54
19	4	0.19619988109412925	6	-48.63050767990558	-3111.7669488952074	-24.948871291553278	-93.6668775292271	-39.9056907042856	-663.7837792200357	1224.2060559408299	28
20	12	0.13369964959750852	3	-45.04936082639198	-3111.6612387857017	-24.572331317816776	-93.59752333792758	-38.59126274443537	-662.6943434024547	1224.704023622506	1
21	6	0.19864528241641374	4	-47.1813196504867	-3111.7598446656193	-25.0466510490935	-93.54615028094136	-38.336135588760456	-663.1740202469803	1224.51005536073	12
22	14	0.19498125174144237	17	-51.280718056799124	-3111.7892398742106	-25.173131024293497	-93.96532249217209	-41.56522027463899	-664.7547263444229	1223.7286129161316	56
23	15	0.11600817970098207	10	-50.167190022011965	-3111.777226321956	-25.070096569635	-93.78417581411543	-40.41908134032714	-664.2435540136091	1223.979937864919	40
24	12	0.2325422359757312	15	-50.53248059587727	-3111.837769499715	-25.041760338363094	-93.94276831016374	-41.01247066494775	-664.4734498818133	1223.895204951764	50
25	15	0.21983250086582914	16	-51.275984568038794	-3111.792143552662	-25.026796153211148	-93.93226878640225	-41.102841939021815	-664.6260069998673	1223.7957330067034	55
26	14	0.16439127449488822	5	-47.909370079421215	-3111.6351243819854	-24.780560300932567	-93.49874023100355	-37.81550999086703	-663.127860996842	1224.4722747589956	11
27	14	0.14599638825387654	12	-50.7474372934274	-3111.8185377328773	-25.068518582379305	-93.83495730766401	-40.890524014731966	-664.471994986216	1223.8856334115594	49
28	10	0.2889244643203605	8	-48.66967463490617	-3111.65155816281	-24.440479425658364	-93.7520629059013	-39.50371693053813	-663.6034984119628	1224.2420897116817	22
29	6	0.38559635724788033	13	-50.274792406769	-3111.8171864568762	-24.908582041316297	-93.81128521558034	-40.250838834886345	-664.2125369910857	1224.0166183446433	38
30	11	0.11663271389379898	7	-49.28051340131782	-3111.6774597944946	-25.077439398559182	-93.71334316786957	-39.71759037463391	-663.893269227375	1224.10639846435	30
31	8	0.12464426509985546	8	-49.96459849079659	-3111.7502959054245	-24.96196796188173	-93.70948176165582	-40.22698670372393	-664.1226661646965	1224.027333344901	35
32	4	0.16856374101980542	6	-48.31577904731119	-3111.8430320324605	-25.185193670454243	-93.6799150400341	-39.5526683879804	-663.715317635648	1224.27823555201	26
33	7	0.13052103668969983	10	-49.90143567457024	-3111.8304576676883	-25.087435941683008	-93.82563148723554	-39.91191722318524	-664.1113755988724	1224.0739311213258	34
34	13	0.23087754968464652	3	-45.15108913950304	-3111.5667097379205	-24.76485312518529	-93.54742899427112	-38.77183068008206	-662.7603823353925	1224.622150894635	3
35	15	0.11936872815742272	3	-46.34996928312818	-3111.583086642034	-24.635450185127386	-93.55296720065633	-39.181871037213135	-663.0606688696319	1224.4790446402867	9
36	14	0.22285917762815496	18	-51.20473380150391	-3111.809822431955	-25.407765574018185	-93.90283709893687	-41.853273900860984	-664.8356865614551	1223.6964361329476	58
37	9	0.15397347442300313	6	-48.09459198530838	-3111.699324152191	-24.730908320921476	-93.64237063686373	-39.15179561265545	-663.463798141588	1224.3347655759587	20
38	4	0.4093249989009665	10	-49.422350575151704	-3111.8954741297825	-25.02397046020325	-93.83649746285032	-39.419996057169115	-663.9196577370313	1224.2038126423517	32
39	11	0.21505280631800724	16	-50.9885495246658	-3111.786334652735	-25.10567133989033	-93.93353861609664	-41.017347927147824	-664.5662884121072	1223.8225764780007	52
40	8	0.31719826722043887	5	-46.62089515653962	-3111.6177327514697	-25.019463447721094	-93.62816406031556	-38.593777717682116	-663.0960066267456	1224.4785452552403	10
41	14	0.28047021056502636	12	-50.78217116942459	-3111.7253538360437	-24.749215252493418	-93.85239431650493	-40.0736044923801	-664.2365478133694	1223.9599044667425	39
42	9	0.21411733060513352	12	-50.458471025313116	-3111.803115045063	-24.95777975531517	-93.87943891159016	-40.512887878536056	-664.3223385231635	1223.9543595006207	42
43	15	0.32282183010618554	13	-50.62678724643875	-3111.8152450069642	-24.77842683648456	-93.84333258259105	-39.90229796039291	-664.1932179265742	1224.026696754248	37
44	15	0.13326443138382707	8	-49.876610843940945	-3111.723453502915	-24.60801131184789	-93.78229351461596	-39.26009130145184	-663.8500920949543	1224.1542248494325	29
45	8	0.4536774082403324	7	-47.66316906945714	-3111.711438426672	-24.691812500356598	-93.64448370380424	-38.44838313269903	-663.2318573665978	1224.4586251637595	15
46	14	0.26595828559974816	17	-51.045172871003594	-3111.8928549964357	-24.925264798909105	-93.91288591167583	-41.22109074838519	-664.5994538652819	1223.859522784309	53
47	8	0.12290555324460957	1	-46.55824510753551	-3111.6666830924955	-25.06169671454335	-93.65114546287349	-39.20793733595332	-663.2291415426803	1224.4352685166336	14
48	8	0.2888896266714322	2	-45.424168070174126	-3111.7129413654598	-24.684315191306588	-93.6159625693621	-39.378799651996474	-662.9632373696599	1224.5932767832862	5
49	11	0.24012075472312525	15	-50.83536943351423	-3111.865754262337	-24.969357132191323	-93.83272140579972	-40.78333041043888	-664.4573065288562	1223.9171928508574	48
50	12	0.3521724772496543	3	-45.65743736383814	-3111.294603418452	-24.57755433399461	-93.52057730590292	-38.583401692188446	-662.7267148228752	1224.5034954291166	2
51	3	0.14261938838836344	19	-51.665831265728286	-3111.903482522721	-25.486359061054458	-94.08319465381904	-42.19574044779429	-665.0669215902234	1223.6277435737006	60
52	12	0.23188652261436649	12	-50.40487497476619	-3111.8318014488054	-24.89732201525686	-93.83779631160232	-40.395650480931984	-664.2734890462726	1223.9933568380773	41
53	4	0.13127939632598612	17	-51.38652237631706	-3111.85414951523	-25.331869284224414	-93.9238046731799	-41.37203622267358	-664.7736764143249	1223.7509263193165	57
54	3	0.43200748413691153	15	-50.81540934362189	-3111.950793415478	-24.646291582485635	-93.92775187375211	-40.41945366394128	-664.3519399758558	1224.0151992694277	43
55	4	0.2035241952435823	19	-51.70344198588253	-3111.9143047561297	-25.53611024579198	-94.0439542594918	-41.72624979786553	-664.9848122090323	1223.674574541536	59
56	3	0.2564290430277507	11	-50.09777547949878	-3111.8822655810955	-25.011662427552576	-93.80475237448098	-39.90963270605026	-664.1412177137356	1224.085040364669	36
57	7	0.36698875277224235	9	-48.39551512312049	-3111.7488193836098	-24.917005113858377	-93.77394759279862	-39.250903201889344	-663.6172380830553	1224.2825402012031	23
58	10	0.3110448671475204	13	-50.33527918447125	-3111.856563546714	-24.520160345542877	-93.84154639476543	-39.639998358184876	-664.0387095659357	1224.1263559757504	33
59	6	0.23407687229868582	8	-48.79765533620058	-3111.8207755920553	-24.8226058735897	-93.77025717492101	-39.5770151348187	-663.757661822317	1224.2478462675351	27
