	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.35086483324841816	4	-37.55697470925397	-226.2144780944114	-2.492761014585403	-179.91575463000692	-0.3289218356408799	-89.30177805677971	94.95839029749969	8
1	6	0.32039111104851736	15	-38.093122502375266	-226.41867885180403	-2.4522080903927495	-180.1064903026921	-0.32367563048801484	-89.47883507555042	95.00385299783967	44
2	10	0.2240103954190444	15	-38.095423273593376	-226.4312810578695	-2.4488255522641253	-180.10804783642612	-0.32349260413180725	-89.48141406485698	95.0081883736017	50
3	13	0.15403903706700303	8	-38.04844810063925	-226.36804282675794	-2.4571271622828346	-180.02188974765988	-0.32210893379078154	-89.44352335422614	94.97734243741446	20
4	9	0.2983742863918686	8	-38.04896247186207	-226.39130812761596	-2.456651399767251	-180.0587692459504	-0.3295059251298434	-89.45703943406511	94.98972840470701	29
5	15	0.188215284294123	7	-38.02001891843902	-226.37586183024828	-2.462378721922784	-180.00630531929713	-0.3259373564802766	-89.43810042927751	94.97802178903603	19
6	6	0.305567564911397	6	-37.95076107706253	-226.3136302092201	-2.4582729581621603	-180.0417003185726	-0.3212356290955089	-89.41712003842257	94.97596838868712	13
7	11	0.4475948445391809	17	-38.09345561607825	-226.43911255931351	-2.4515516044019585	-180.12107521743	-0.32119119471244006	-89.48527723838723	95.01307683872167	57
8	14	0.15071736890545592	3	-37.56284142963589	-225.9971026488732	-2.4662855219326887	-179.69844786608974	-0.3256110059572167	-89.21005769449775	94.8590599204524	6
9	11	0.13232980157079077	7	-38.04886926247737	-226.3627892463144	-2.452919045043937	-180.06788026770067	-0.31944713781060274	-89.4503809918694	94.98582617631946	27
10	7	0.45224604837939353	4	-37.74865775352865	-226.32865276485595	-2.47444629891232	-179.89853573798607	-0.3261098098219683	-89.355280473021	94.97105019452218	10
11	6	0.33459079010734066	17	-38.09433815758428	-226.4152627374247	-2.4511237904327117	-180.11708269457316	-0.3215386879151216	-89.479869213586	95.0053574290279	45
12	4	0.21229766543506445	13	-38.087797279401876	-226.4126625464974	-2.451436489720442	-180.1064720167781	-0.31969101760442775	-89.47561187000045	95.00358042829379	41
13	15	0.4622682428150517	11	-38.072570050329716	-226.413531015465	-2.4589534825013613	-180.06170223335036	-0.32461646375390485	-89.46627464908008	94.99463622589903	34
14	12	0.38519402698726474	8	-38.040497038739815	-226.38989972289727	-2.462402470886314	-180.00593420061963	-0.33635958594563786	-89.44701860381774	94.97782197658226	22
15	10	0.13351155730868958	1	-50.36564776668421	-224.829175919897	-2.483312868997397	-179.60647920115807	-0.325812603768225	-91.52208567210099	93.23964431358033	60
16	8	0.11438515289517169	2	-37.28626738334553	-225.66393179391952	-2.458356363097518	-179.80959925614334	-0.3395630904907737	-89.11154357739935	94.81328035469996	2
17	6	0.16475058113465266	2	-37.3603911427565	-225.2365668631406	-2.4758605116908976	-179.60225947227875	-0.32188545907992294	-88.99939268978933	94.64254380134443	1
18	6	0.44029814802306605	20	-38.09881177992774	-226.4386200796567	-2.4502085473880495	-180.12642124504487	-0.32473081106331053	-89.48775849261614	95.01295714272892	58
19	4	0.19619988109412925	6	-37.97021079375363	-226.3342269903588	-2.4575974074164235	-180.01985399954236	-0.31483939362373126	-89.41934571693898	94.9769540632835	14
20	12	0.13369964959750852	3	-37.58999261584807	-225.8379515337467	-2.4481005001598177	-179.88871377667527	-0.31109202083491455	-89.21517008945294	94.85261656475191	7
21	6	0.19864528241641374	4	-37.75434560203297	-226.11685077915863	-2.4660632668819455	-179.8602959416244	-0.31973171167348546	-89.30345746027429	94.90478702250942	9
22	14	0.19498125174144237	17	-38.09967696191488	-226.4201088120232	-2.4464071465827755	-180.1055205081841	-0.32828679503172575	-89.48000004474733	95.0035685821131	47
23	15	0.11600817970098207	10	-38.06438239840003	-226.38504694663868	-2.4519169444704785	-180.06733975516644	-0.3143049539092435	-89.45659819971698	94.99160953672126	28
24	12	0.2325422359757312	15	-38.09930794471391	-226.41787702525914	-2.453249186702519	-180.1099997876457	-0.319111676082575	-89.47990912408076	95.00428822486104	46
