	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.35086483324841816	4	-2.5391847484254155	-2.5084763970611665	-5.230144922381568	-2.955383262466066	-2.8963459935418965	-3.2259070647752224	1.018337598235498	25
1	6	0.32039111104851736	15	-2.539139688833123	-2.590612369659747	-5.227105212605228	-3.026189520690364	-2.86982170244635	-3.2505736988469622	1.0043589471574925	40
2	10	0.2240103954190444	15	-2.5462449485762124	-2.5844091110321723	-5.236370717507841	-3.0689193710149665	-2.8935259826592525	-3.265894026158089	1.0042461700349363	52
3	13	0.15403903706700303	8	-2.5468820185222625	-2.5573252307722236	-5.232044262521424	-2.970728051525846	-2.868569206273911	-3.2351097539231333	1.0124274161501252	32
4	9	0.2983742863918686	8	-2.4804497492516644	-2.5761193641784734	-5.2188461979026055	-2.9742746857788864	-2.9104573421518882	-3.2320294678527035	1.0111752584028353	31
5	15	0.188215284294123	7	-2.4792389921008526	-2.530925121653851	-5.244741773652286	-2.949378241368499	-2.856008716296409	-3.212058569014379	1.0323314165509663	9
6	6	0.305567564911397	6	-2.4882514447990185	-2.537477231951664	-5.221048570930022	-2.945487895210431	-2.88356249558501	-3.215165527695229	1.019207426347044	13
7	11	0.4475948445391809	17	-2.5087516745686678	-2.569737750360314	-5.2283087982264105	-3.041756169188448	-2.926848869734652	-3.2550806524156983	1.0073305902530334	47
8	14	0.15071736890545592	3	-2.5008122194826257	-2.509240822413789	-5.237694770195962	-2.9391126245717936	-2.8078507247049243	-3.198942232273819	1.033445639860929	3
9	11	0.13232980157079077	7	-2.543200337317551	-2.5031895320025606	-5.230000895290659	-2.9559730159723157	-2.8148610458763845	-3.209444965291894	1.024233313865715	5
10	7	0.45224604837939353	4	-2.490871532597289	-2.5440207526269574	-5.227423844235662	-2.9786912882540904	-2.8880027041183665	-3.225802024366473	1.0184901115538996	24
11	6	0.33459079010734066	17	-2.515596010205961	-2.584102696948605	-5.234935992945659	-3.0241053970538556	-2.900843576235126	-3.251916734677841	1.0095206332775017	43
12	4	0.21229766543506445	13	-2.569049481176825	-2.5838870611359477	-5.224724611866559	-3.0593270789695577	-2.9281174127534033	-3.2730211291804587	0.9944095785904635	57
13	15	0.4622682428150517	11	-2.4831312645330548	-2.5683267224479374	-5.215210143574159	-2.9686347557620225	-2.9096081393329176	-3.2289822051300177	1.0107068124970289	29
14	12	0.38519402698726474	8	-2.5107741618560824	-2.4839879701477314	-5.229872645146485	-2.938925816082795	-2.8927788577836773	-3.2112678902033545	1.0266448432984894	8
15	10	0.13351155730868958	1	-2.447032958823435	-2.5223873023512504	-5.2268831860001885	-2.966746139419468	-2.8856757671381583	-3.2097450707465	1.028309879134098	6
16	8	0.11438515289517169	2	-2.4717104885110497	-2.450900454844323	-5.232887768312777	-2.9832556768595104	-2.8403060746273923	-3.1958120926310105	1.0392746074426997	2
17	6	0.16475058113465266	2	-2.4858618927736824	-2.5676487711333507	-5.225212144809206	-2.9689155146357793	-2.839384070030024	-3.2174044786764084	1.019144234469177	16
18	6	0.44029814802306605	20	-2.558387114325619	-2.5550164381212768	-5.239039219301575	-3.0617752494321904	-2.943131749457012	-3.271469954127535	1.0044799088183634	56
19	4	0.19619988109412925	6	-2.504968640395481	-2.5308267263768798	-5.225353622841378	-2.9660125442404865	-2.87674651464264	-3.2207816096993724	1.018823078582527	18
20	12	0.13369964959750852	3	-2.525823857416136	-2.5283993273802468	-5.233336163236821	-2.981296792431059	-2.8020017386305316	-3.214171575818959	1.0242310704784638	12
21	6	0.19864528241641374	4	-2.4978971713763056	-2.610477484933332	-5.235619562337379	-2.9163451824590014	-2.858484575812725	-3.2237647953837483	1.0176935878029714	20
22	14	0.19498125174144237	17	-2.6081313372888153	-2.555562143775274	-5.243866783623951	-3.0798128071555553	-2.9261500908598443	-3.282704632540688	0.9998238391314552	59
23	15	0.11600817970098207	10	-2.5017582357969768	-2.543344996695289	-5.227194843271508	-3.04022103500748	-2.823391657270442	-3.2271821536083394	1.019011786126412	27
24	12	0.2325422359757312	15	-2.557955870487334	-2.5738029188504292	-5.2440635599300665	-3.006594168628041	-2.9327265854068516	-3.263028620660544	1.0071263222020364	50
25	15	0.21983250086582914	16	-2.532251692716077	-2.609343552305786	-5.233586753470547	-3.0727371697815924	-2.9055691610878513	-3.2706976658723703	1.0008129167864368	55
26	14	0.16439127449488822	5	-2.4928914217462212	-2.5144275628711963	-5.2359256261633425	-2.9562802839352686	-2.7760222178933014	-3.195109422521866	1.0347987373627632	1
27	14	0.14599638825387654	12	-2.5518129362098723	-2.553303975778485	-5.239961848776707	-2.991722044688409	-2.8858334980953138	-3.2445268607097573	1.0131114107380033	39
28	10	0.2889244643203605	8	-2.487229944746789	-2.558267412713082	-5.220966656426154	-2.9633020960123306	-2.8227474977787597	-3.2105027215354234	1.0199962650935568	7
29	6	0.38559635724788033	13	-2.5179772677394885	-2.57290580722076	-5.224598036488674	-3.0106535897371205	-2.938815169016213	-3.252989974040451	1.004731728926957	45
30	11	0.11663271389379898	7	-2.513627055181569	-2.574495032814217	-5.238007510013668	-3.0080549889087154	-2.880181059268569	-3.242873129237348	1.014472809917084	38
31	8	0.12464426509985546	8	-2.575072984412926	-2.499893338130049	-5.230005021999726	-2.9578235440801186	-2.875870911201251	-3.2277331599648145	1.0160184017377454	28
32	4	0.16856374101980542	6	-2.525824371363395	-2.578443615650614	-5.2354703795834725	-3.018267203217173	-2.831691649321321	-3.2379394438271953	1.0144422730694242	34
33	7	0.13052103668969983	10	-2.501654478579089	-2.54836657528454	-5.2303735160147795	-3.013544246845283	-2.8965759730003695	-3.2381029579448124	1.0153129481153784	35
34	13	0.23087754968464652	3	-2.548866923899454	-2.518506329329213	-5.228585459716884	-2.957714754874967	-2.8269757997516463	-3.2161298535144334	1.0198151995764233	14
35	15	0.11936872815742272	3	-2.5428702193056147	-2.466877671717869	-5.220299296385373	-3.016538453225077	-2.8502146295207935	-3.2193600540309455	1.0202971165265944	17
36	14	0.22285917762815496	18	-2.527273631351917	-2.57857494124589	-5.242164512619577	-3.048610999039351	-2.8865947503442078	-3.256643766920189	1.0113619199667216	48
37	9	0.15397347442300313	6	-2.523459056053525	-2.5494294176082075	-5.229375214627755	-2.9268226899294	-2.898520601882458	-3.2255213960202695	1.0160287845536304	23
38	4	0.4093249989009665	10	-2.439408445835778	-2.5767860515203727	-5.213480225563835	-2.9716954093982424	-2.931477828819339	-3.226569592227513	1.0140705284083387	26
39	11	0.21505280631800724	16	-2.5760862636481265	-2.5704630343981063	-5.233733069353988	-3.0578800550956915	-2.883177330114937	-3.26426795052217	1.0021554943643118	51
40	8	0.31719826722043887	5	-2.519511039020973	-2.5357107525349516	-5.227052554787279	-2.985984193930596	-2.852871576048775	-3.224226023264515	1.0175120537003937	22
41	14	0.28047021056502636	12	-2.5005830503107775	-2.5451201097249916	-5.232046268802519	-2.989257370613408	-2.84700741933463	-3.2228028437572656	1.02114447050179	19
42	9	0.21411733060513352	12	-2.523421743615175	-2.534164497983966	-5.226097745427377	-3.0029060743431173	-2.9083762836928964	-3.2389932690125063	1.0121714438854488	36
43	15	0.32282183010618554	13	-2.56716606152325	-2.550750523972256	-5.236675971332038	-3.039590952230056	-2.889721934684752	-3.2567810887484705	1.0075649624948775	49
44	15	0.13326443138382707	8	-2.4934191692160805	-2.5760672016184207	-5.234912370172089	-3.011578747974116	-2.843021207291069	-3.231799739254355	1.0185575360462122	30
45	8	0.4536774082403324	7	-2.4967136293778442	-2.553927170824979	-5.227179164750959	-2.9668117247073296	-2.876428662734363	-3.224212070479095	1.0176071192705873	21
46	14	0.26595828559974816	17	-2.53478332491447	-2.5786458588496575	-5.22599161047676	-3.009031966138542	-2.916130753519044	-3.2529167027796944	1.0036220255801434	44
47	8	0.12290555324460957	1	-2.5552028405901654	-2.564169039250571	-5.237691259952911	-2.9762547976666913	-2.8428552109437883	-3.235234629680825	1.0142619955999999	33
48	8	0.2888896266714322	2	-2.4913837168124466	-2.53968077890994	-5.222064141427926	-2.9406922761433005	-2.871424317559096	-3.2130490461705414	1.0199267610276361	10
49	11	0.24012075472312525	15	-2.5197507543113846	-2.5872928409607203	-5.245209226755879	-2.9920859111413787	-2.9117289758904654	-3.2512135418119654	1.013335501950636	41
50	12	0.3521724772496543	3	-2.4605025146244213	-2.5348019170439153	-5.232133824648321	-2.9916208577902053	-2.816014592248662	-3.207014741271105	1.0304885762611458	4
51	3	0.14261938838836344	19	-2.579026054423692	-2.6392610169580712	-5.241531947335199	-3.0846690058097397	-2.9532609366020934	-3.299549792225759	0.9891936249434874	60
52	12	0.23188652261436649	12	-2.527586326084828	-2.551455244840087	-5.233692546237517	-3.024032626157065	-2.8690972838582236	-3.241172805435544	1.0139665621316696	37
53	4	0.13127939632598612	17	-2.537592432756181	-2.594613231817607	-5.247295782392997	-3.015259930835018	-2.94792811241275	-3.2685378980429105	1.0070629431334002	54
54	3	0.43200748413691153	15	-2.525730582962414	-2.6434849153717135	-5.223506983299998	-3.029332830288842	-2.913638475396376	-3.2671387574638686	0.9947382509440824	53
55	4	0.2035241952435823	19	-2.5724163262112247	-2.6015583636710415	-5.237256910970983	-3.0225380269222932	-2.955001635121648	-3.277754252579438	0.9963631579608001	58
56	3	0.2564290430277507	11	-2.542463243811583	-2.581669549278647	-5.222592702842582	-3.0126658254148615	-2.9120598571218914	-3.254290235693913	1.0008830944730536	46
57	7	0.36698875277224235	9	-2.491031897295626	-2.51280679161112	-5.230906470527595	-2.9534528000883102	-2.8822183868056745	-3.2140832692656653	1.0256929707706426	11
58	10	0.3110448671475204	13	-2.5375704352539854	-2.5407996348171773	-5.221135119639962	-3.034570646155814	-2.923394821550595	-3.251494131483507	1.0048844997830282	42
59	6	0.23407687229868582	8	-2.451702622814444	-2.5504902330228143	-5.2293172438073015	-3.0172895243571607	-2.837012359240453	-3.2171623966484346	1.0260224933280386	15
