	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	0.2649578128880535	1.5*mean	-48.08525509714331	-3111.8472955606244	-26.098366785263135	-93.4844029013951	-36.13369503840155	-663.1298030765655	1224.575535134989	12
1	12	0.34553804393378756	9	0.0016401138413969622	0.5*mean	-50.08982761168663	-3111.84394272955	-25.140935716026917	-93.77397713977861	-39.447645930910284	-664.0592658255905	1224.1070144636396	32
2	13	0.10373142904805013	7	0.048143211804810813	1.5*mean	-49.77615558273269	-3111.8183979985697	-24.912925201131348	-93.57729317808482	-39.29029635122008	-663.8750136623478	1224.186450667467	25
3	3	0.11639554198431822	7	0.17913211790965036	1.5*mean	-50.9033236457111	-3111.985870034288	-25.373812206237016	-93.62552887316272	-40.510583943015455	-664.4798237404827	1223.9632919556364	44
4	8	0.8502138809685273	17	0.030734948372823923	mean	-50.550519573849414	-3111.890788359658	-24.634735940059347	-93.79325927920623	-39.951809628201055	-664.1642225561948	1224.079184847298	35
5	5	0.16994284286846398	15	0.09095301540307833	median	-51.26979919706304	-3111.845473365214	-25.16782570469734	-93.94625009310184	-41.496376812201056	-664.7451450344554	1223.7615429342989	52
6	10	0.33374331906557364	9	0.007682622920681918	median	-48.215540409685374	-3111.751851925255	-24.785051659446655	-93.67035471349917	-39.39720083314747	-663.5639999082067	1224.3103356582235	17
7	3	0.12603001028548488	13	0.00836453935803947	0.5*mean	-51.622804051524014	-3111.9395604619704	-25.616570001198816	-94.09550928015969	-41.612113598128936	-664.9773114785963	1223.6911668785795	55
8	12	0.6885222737947579	8	0.005995189136489382	mean	-48.79928944427127	-3111.7538800731013	-24.76487988812799	-93.67715749761214	-38.88494769114276	-663.5760309188511	1224.306218641385	18
9	8	0.12120152938136491	2	0.007488075467672605	0.5*median	-45.79551125946486	-3111.5567456181657	-24.647921313786647	-93.52991796376409	-39.44344227207064	-662.9947076854504	1224.4985789029333	9
10	4	0.23461246524642448	5	0.011842437064553185	0.5*median	-47.9442661785464	-3111.826112600405	-25.176669381759186	-93.63247753370041	-39.8421886065416	-663.6843428601904	1224.2846220103843	22
11	12	0.8061637563408413	18	0.06852378004457757	0.5*mean	-50.51446836259325	-3111.834974824102	-24.722687030877523	-93.79767880800586	-40.15401377058801	-664.2047645592332	1224.030255864799	37
12	6	0.2669645359194208	4	0.004384405622145092	mean	-48.708108253651716	-3111.6489216360865	-25.023775546055163	-93.75918762483897	-38.91437559997215	-663.6108737321208	1224.2357482026173	20
