	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	0.2649578128880535	1.5*mean	-37.48491660025398	-225.90110934800447	-2.4989882996590422	-179.6663682925002	-0.33242466750326555	-89.1767614415842	94.82648956408615	4
1	12	0.34553804393378756	9	0.0016401138413969622	0.5*mean	-38.04248838984784	-226.35761164627277	-2.462588963695812	-180.06037130571494	-0.33264792745320454	-89.4511416465969	94.9793428883339	20
2	13	0.10373142904805013	7	0.048143211804810813	1.5*mean	-38.039562579956524	-226.30776987303457	-2.459486213786197	-180.03775448457466	-0.3274444510109547	-89.43440352047257	94.96252070477014	16
3	3	0.11639554198431822	7	0.17913211790965036	1.5*mean	-38.03059484844132	-226.27814904805976	-2.4637941191571024	-180.01903899884283	-0.3576816291907292	-89.42985172873836	94.94491834711108	14
4	8	0.8502138809685273	17	0.030734948372823923	mean	-38.0945860260896	-226.4147346718692	-2.4604225490854073	-180.10417399954093	-0.33189129220721586	-89.48116170775847	94.9990688177403	47
5	5	0.16994284286846398	15	0.09095301540307833	median	-38.097256231603	-226.40527818930886	-2.4546961877305535	-180.1278131285027	-0.3256484880366611	-89.48213844503637	95.00278528931675	50
6	10	0.33374331906557364	9	0.007682622920681918	median	-38.048583654838914	-226.40893869013337	-2.4562869584103675	-180.08190462125336	-0.327783782836434	-89.46469954149448	94.9996558694093	28
7	3	0.12603001028548488	13	0.00836453935803947	0.5*mean	-38.08785451018931	-226.40036021197966	-2.45074249158268	-180.11875154696023	-0.3225443660133731	-89.47605062534504	95.00196252732952	37
8	12	0.6885222737947579	8	0.005995189136489382	mean	-38.02150412729504	-226.32267541150637	-2.463555689381335	-180.0049537887358	-0.33918349311513896	-89.43037450200674	94.95956645250618	15
9	8	0.12120152938136491	2	0.007488075467672605	0.5*median	-37.206858029402724	-226.11480874691784	-2.4937395855618427	-179.70552974566897	-0.3288762896082971	-89.16996247943193	94.92760430355845	3
10	4	0.23461246524642448	5	0.011842437064553185	0.5*median	-37.86828661208726	-226.2732121142919	-2.4615773813886155	-180.02674029594542	-0.3229348002873127	-89.39055024080011	94.9694815836783	7
11	12	0.8061637563408413	18	0.06852378004457757	0.5*mean	-38.09404380342865	-226.36058736797003	-2.4683795871479464	-180.09592374699	-0.333173260303184	-89.47042155316794	94.98024602500384	33
12	6	0.2669645359194208	4	0.004384405622145092	mean	-37.814341923453775	-226.21885535920893	-2.453712290595238	-179.92882359599707	-0.32990649225760055	-89.34912793230252	94.94111097597062	6
13	15	0.12366942622515488	10	0.08638804705336449	0.5*median	-38.07722918802739	-226.37515820091525	-2.454771686198747	-180.08969887229983	-0.31487627861049805	-89.46234684521033	94.99100463610353	24
14	15	0.30861914435616555	16	0.002403424871263923	mean	-38.08717039277046	-226.40427724779704	-2.4474663135174564	-180.1175862858777	-0.31966324759863146	-89.47523269751227	95.00408426868154	34
15	7	0.360922143228199	12	0.01286806893091271	1.5*median	-38.07960719492659	-226.39757591050395	-2.4576586798716544	-180.0812730365567	-0.3282478222905389	-89.46887252882989	94.99256374649408	31
16	5	0.45889127367301447	13	0.02085497798342724	1.5*median	-38.083432794593016	-226.41908374666173	-2.4542032425946636	-180.09977796758673	-0.32859168989929516	-89.47701788826708	95.00244922868087	38
17	11	0.12462304343612073	7	0.009925789646676326	0.5*median	-38.04175499824656	-226.30174860673418	-2.4573816058250317	-180.06044544430662	-0.31878183570330587	-89.43602249816314	94.96688928691933	17
18	10	0.3176314440286965	16	0.005548480361375192	1.5*mean	-38.09231920000723	-226.39686839612327	-2.4577808575953495	-180.12940407853588	-0.32796177425850326	-89.48086686130405	95.0001995679088	45
19	12	0.2599571533355433	1	0.08308491716590138	0.5*mean	-77.8933980454384	-225.00312772804966	-2.840414603027797	-179.96704763315554	-0.30522386001208496	-97.2018423739367	91.48671760703654	60
20	15	0.1288265958920762	3	0.08466997920259306	1.5*mean	-37.24950810064646	-225.85599369696612	-2.474824726292466	-179.91574027277952	-0.3127388492384513	-89.1617611291846	94.89494577184941	2
21	4	0.7517528960375698	11	0.2119789296243593	median	-38.076172415013495	-226.4355834017846	-2.4573337253700274	-180.06724115964064	-0.34112576248604487	-89.47549129285896	94.998859804168	35
22	9	0.24316646058254404	9	0.01508434142241267	1.5*median	-38.05700184648763	-226.3753068060245	-2.4603744336569533	-180.0502057000496	-0.32237226981462846	-89.45305221120665	94.98326811646909	21
23	12	0.6944318642240471	5	0.042835053510240736	median	-37.90237632043218	-226.34769960157385	-2.481355852434251	-179.96210706427811	-0.3342462927447469	-89.40555702629263	94.96918651459218	8
24	14	0.22754674549322093	2	0.014953292430794882	0.5*median	-43.38437445023583	-225.7482549976684	-2.48878252513876	-179.7679955696549	-0.3374894397472774	-90.34537939648904	94.18692144683752	55
25	15	0.5347629164516537	13	0.0010415851009308225	1.5*mean	-38.08605319723049	-226.3812326073011	-2.451043343254052	-180.11032811931267	-0.35100380823676575	-89.47593221506702	94.9896402862515	36
26	10	0.2904933654556075	10	0.0033684114157531914	0.5*median	-38.05491205977212	-226.4186852826617	-2.461840407596118	-180.06219256994635	-0.3233415399568297	-89.46419437198664	94.99783724370083	26
27	14	0.2533078077629738	17	0.002888961793031356	1.5*median	-38.09686869396194	-226.42686155524825	-2.452942469010287	-180.12681897467374	-0.32640126609309156	-89.48597859179746	95.00903914245637	53
28	3	0.3809319587106196	2	0.09482970872473657	1.5*mean	-52.763551371264846	-225.52454179600164	-3.191506776887974	-179.66210934490417	-0.3233333229463724	-92.29300852240101	93.10647452162458	57
29	14	0.2620695667694257	10	0.08663211833438172	0.5*mean	-38.05279953980661	-226.3095156228659	-2.461363569988594	-180.06992947411982	-0.34148846167269364	-89.4470193336907	94.96475188370923	19
30	3	0.16618034849860697	19	0.09422044400979789	1.5*median	-38.09487090275223	-226.42796709708531	-2.451776171313276	-180.1249550236364	-0.3187713421197365	-89.48366810738139	95.01086403868348	52
31	8	0.18804361569555236	15	0.14848907716377532	median	-38.09778740727576	-226.4124140114611	-2.449259751570136	-180.12694845039056	-0.3216491526336989	-89.48161175466626	95.00636642069922	49
32	4	0.15759153635511386	20	0.06048187207384712	mean	-38.10300947240797	-226.40411819497194	-2.4611412688784635	-180.13338793648904	-0.3152956951549926	-89.48339051358047	95.00365493460336	51
33	13	0.14618329436079053	9	0.0025587221958378228	1.5*mean	-38.063673186304996	-226.33253293887273	-2.4588042237396106	-180.1017452060079	-0.32967259528470033	-89.457285630042	94.97896814554863	23
34	12	0.19122022190757984	20	0.020370022829558295	1.5*mean	-38.099583190827914	-226.41450473056298	-2.45363684278586	-180.12219891748003	-0.3178934270782979	-89.48156342174701	95.00577157473727	48
35	10	0.4349877460030659	1	0.0014374743904118025	1.5*mean	-66.63141307727665	-225.8872295571858	-2.481189804012703	-179.86334208164033	-0.3137096981707376	-95.03537684365725	92.37234214634935	59
36	3	0.10548491763332951	10	0.00647956951977449	0.5*mean	-38.0814440200368	-226.40599437436688	-2.4539007553082905	-180.0879451250495	-0.3209711956593395	-89.47005109408416	94.99811901737326	32
37	3	0.36877918875663757	6	0.006619298865197672	median	-37.96652689005258	-226.39504052358498	-2.455745420494117	-179.97769648091116	-0.3277799107676347	-89.42455784516208	94.98476000345553	13
38	14	0.8722910036138813	9	0.261938905090084	1.5*mean	-38.02856567760537	-226.24797112810188	-2.469607900956524	-179.93954083557145	-0.38382931514675156	-89.41390297147639	94.91529978708314	10
39	14	0.11795496076270207	15	0.003996673612918531	mean	-38.091712859280776	-226.4170565352005	-2.4467229317275874	-180.12261554934656	-0.31859193717332035	-89.47933996254575	95.00857357546072	42
40	10	0.7348505678070261	19	0.14507859559057387	1.5*median	-38.09650526032449	-226.44350221178945	-2.4518985911544915	-180.1207173876835	-0.32998155214882463	-89.48852100062014	95.01223076991538	54
41	6	0.35183288999717616	4	0.052255175057892664	0.5*mean	-37.57902108171557	-225.9553205333482	-2.484926450842208	-179.72306847242655	-0.3232643702222065	-89.21312018171095	94.84697817059838	5
42	3	0.2107651989885687	5	0.0028330177630692542	1.5*median	-37.924677878878555	-226.3125399719291	-2.45343090921807	-180.06925641678035	-0.33265837738200593	-89.41851271083763	94.98248465373614	12
43	14	0.3363063470842054	15	0.04085810845348296	1.5*mean	-38.093462509445125	-226.35679381451942	-2.454223016526801	-180.08740044569387	-0.32466516754183533	-89.4633089907454	94.98177944369435	25
44	3	0.48869418091009226	1	0.08084933683089568	median	-52.47176901587217	-225.10938468043838	-2.5683997604280697	-179.72741241930996	-0.3157288343441969	-92.03853894207855	93.14579700540976	56
45	11	0.9090545612280351	2	0.18869226557597132	mean	-55.89324732987688	-225.62698874825156	-2.595603466672169	-179.68170150666455	-0.4384203405866105	-92.84719227841035	92.97422309957017	58
46	8	0.12790182585157672	5	0.002074502236312459	1.5*mean	-37.95597948846459	-226.25231534177178	-2.4614921753036434	-180.06369218748296	-0.3218930286351084	-89.4110744443316	94.96121441202382	9
47	14	0.1727571045805199	19	0.19293005146866093	0.5*mean	-38.104365391074005	-226.4108252909641	-2.4442651081336364	-180.12147323079841	-0.31904307603460513	-89.47999441940097	95.00555647281718	43
48	8	0.4468156011104356	6	0.021564832482610093	1.5*median	-38.01598102148706	-226.39001313345221	-2.4583493844064708	-180.02941150124278	-0.32670916656980864	-89.44409284143167	94.98753956653118	18
49	3	0.5556786024227276	15	0.0010358586762288984	1.5*median	-38.09162279085198	-226.4128139897621	-2.4473957134621633	-180.11307438676195	-0.3361134437567864	-89.480204064919	95.00212813530234	44
50	5	0.47029376216108043	17	0.25787961972019113	1.5*median	-38.091519204276366	-226.4348258128254	-2.44798851002317	-180.10490109416082	-0.3263258723748552	-89.48111209873213	95.00865392005369	46
51	11	0.2658431858088703	13	0.032298119226092534	0.5*mean	-38.08652640409267	-226.3926574677489	-2.453838496133603	-180.08763548459643	-0.3219963089087349	-89.46853083229607	94.99348426267194	30
52	8	0.4330144032570849	15	0.0028708424074736223	1.5*mean	-38.09578914759519	-226.3986664676376	-2.4496571799883418	-180.12307970252675	-0.32669749539265086	-89.4787779986281	95.00086121876953	40
53	3	0.17635738245593457	7	0.04824403206585336	1.5*mean	-38.019084991596806	-226.25450245901158	-2.461394521227932	-180.01485687522054	-0.33449291341808235	-89.41686635209498	94.94334079832609	11
54	4	0.24528054567592952	12	0.01264311719366095	1.5*mean	-38.08040583223909	-226.3849815704036	-2.4570957390767334	-180.0894056446559	-0.32295198542910303	-89.4669681543609	94.99149528059255	29
55	11	0.48406539530408055	8	0.036263699781200566	1.5*median	-38.03250536200208	-226.39958565178338	-2.464872269695389	-180.05840081545537	-0.3264660069555284	-89.45636602117835	94.99289091128192	22
56	6	0.5961117415001431	14	0.11201180045291592	median	-38.08375226196967	-226.4110125156086	-2.4559732610102567	-180.11199062324255	-0.3285040923037416	-89.47824655082695	95.00211011499243	39
57	4	0.20655218988298837	16	0.03611945399305185	0.5*median	-38.09219731427192	-226.42044934002	-2.450990158343187	-180.11205114438215	-0.3208543068799355	-89.47930845277945	95.00627709504971	41
