	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	0.2649578128880535	1.5*mean	-2.4853727876894824	-2.6897079541467104	-5.321083149388507	-2.759623838264579	-2.926066353217734	-3.2363708165414025	1.0518973691801417	23
1	12	0.34553804393378756	9	0.0016401138413969622	0.5*mean	-2.5634038673400537	-2.522921505675943	-5.223437096068256	-2.88772668541623	-2.919099602236741	-3.2233177513474445	1.0130832812917263	16
2	13	0.10373142904805013	7	0.048143211804810813	1.5*mean	-2.53449273739617	-2.5992417855080645	-5.25290822099978	-3.079259484555173	-2.999153979528214	-3.2930112415974806	1.0029859872798	52
3	3	0.11639554198431822	7	0.17913211790965036	1.5*mean	-2.6866162491320136	-2.886986937517488	-5.28200368697332	-3.219336134889194	-3.08398929365954	-3.4317864604343113	0.9424953007209314	60
4	8	0.8502138809685273	17	0.030734948372823923	mean	-2.5860508575748344	-2.529470561747501	-5.216963634649122	-2.924953126477707	-2.931120392582069	-3.2377117146062466	1.0035458872788727	27
5	5	0.16994284286846398	15	0.09095301540307833	median	-2.558064671555895	-2.596488524161735	-5.238975351252098	-3.051546677357063	-2.925485359420199	-3.274112116749398	1.0003660528064455	46
6	10	0.33374331906557364	9	0.007682622920681918	median	-2.4310776582751625	-2.56173455037372	-5.220646472031603	-3.029417561892993	-2.8627149713181392	-3.2211182427783234	1.0219849484798924	15
7	3	0.12603001028548488	13	0.00836453935803947	0.5*mean	-2.6819877192958814	-2.708279053604001	-5.254435006088341	-3.131719710248368	-3.068044697272541	-3.368893237301827	0.9602373850440389	55
8	12	0.6885222737947579	8	0.005995189136489382	mean	-2.573813169526025	-2.6046138190948596	-5.218791461774284	-2.8474938706539574	-2.793388293822656	-3.207620122974357	1.0110803070637722	9
9	8	0.12120152938136491	2	0.007488075467672605	0.5*median	-2.4748658824773435	-2.4917365511402485	-5.2259390972021285	-2.9871590119360962	-2.8500421691067648	-3.2059485423725165	1.0295125711500541	8
10	4	0.23461246524642448	5	0.011842437064553185	0.5*median	-2.51186428482878	-2.5323455192242337	-5.229710489001869	-2.9620024865083883	-2.913162758686453	-3.229817107649945	1.0172011656745075	20
11	12	0.8061637563408413	18	0.06852378004457757	0.5*mean	-2.610974039014438	-2.5591803618507196	-5.221957747346178	-2.868489537071742	-2.9114237118569433	-3.2344050794280044	1.0033116601597996	22
12	6	0.2669645359194208	4	0.004384405622145092	mean	-2.5367080904382067	-2.56219433264794	-5.242783397464112	-2.857226082701184	-2.789982687286967	-3.1977789181076814	1.0300776402419856	6
13	15	0.12366942622515488	10	0.08638804705336449	0.5*median	-2.56662382462156	-2.574175963018392	-5.223891074007987	-3.00395535713557	-2.8182049456552845	-3.237370232887759	1.0065956962194584	26
14	15	0.30861914435616555	16	0.002403424871263923	mean	-2.6409909731370447	-2.591423035223972	-5.246183716754063	-2.9971758639339057	-2.9769271338409267	-3.2905401445779825	0.9919310824614896	50
15	7	0.360922143228199	12	0.01286806893091271	1.5*median	-2.554641761535596	-2.589843365291552	-5.230726975294371	-2.9599639500472597	-2.8957653506291336	-3.2461882805595828	1.005200444077729	30
16	5	0.45889127367301447	13	0.02085497798342724	1.5*median	-2.464709890364329	-2.573818588468704	-5.221661306054695	-2.986308686274506	-2.8780198126054177	-3.22490365675353	1.0164746332213141	17
17	11	0.12462304343612073	7	0.009925789646676326	0.5*median	-2.482552216383799	-2.5455638013584325	-5.23512933798944	-3.015257829914918	-2.865298625270159	-3.22876036218335	1.0224273441318716	19
18	10	0.3176314440286965	16	0.005548480361375192	1.5*mean	-2.5886893308391627	-2.6153370342428826	-5.241947704109185	-3.0155714247585337	-2.8874206246000758	-3.269793223709968	0.9992443383864034	42
19	12	0.2599571533355433	1	0.08308491716590138	0.5*mean	-2.3945417900277692	-2.4319155651372677	-5.214571554944889	-2.73403788274424	-2.7641199763630966	-3.1078373538434523	1.064129456417163	1
20	15	0.1288265958920762	3	0.08466997920259306	1.5*mean	-2.40875554714107	-2.4541561491893193	-5.22952878915027	-2.8829032577627607	-2.867573620012927	-3.168583472651269	1.0495199465524612	4
21	4	0.7517528960375698	11	0.2119789296243593	median	-2.4722400719231046	-2.5642824318869644	-5.2188617386611815	-3.0590033713211544	-2.871434322396946	-3.2371643872378706	1.0129662930774954	25
22	9	0.24316646058254404	9	0.01508434142241267	1.5*median	-2.489366786950907	-2.5229509368852296	-5.218892985382545	-2.93948939913741	-2.889315274369927	-3.2120030765452037	1.0200974744061257	11
23	12	0.6944318642240471	5	0.042835053510240736	median	-2.50385614938123	-2.5267639020119352	-5.2185166635671685	-2.9754451584362456	-2.917718695719299	-3.228460113823176	1.0137386592913238	18
24	14	0.22754674549322093	2	0.014953292430794882	0.5*median	-2.4724798993605046	-2.5234859397146105	-5.22707654857352	-2.982535891984	-2.8993272975099735	-3.220981115428522	1.0228870690990073	14
