	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	231	-47.864274274629125	-3111.9205089252814	-24.973578443731363	-93.76218328539014	-39.87084222240239	-663.6782774302868	1224.3366100588275	12
1	10	0.2854860642042318	15	43	-51.60725822620282	-3112.0012777451025	-25.395532607836486	-94.18136071816491	-42.28355350052492	-665.0937965595663	1223.6641231447852	39
2	11	0.12210780650989218	11	238	-52.04696410552804	-3112.01129522451	-25.913293007519215	-94.19336335055753	-42.78373828827828	-665.3897307952785	1223.5178834454503	52
3	11	0.3161422215831339	5	20	-48.625465580323606	-3111.8003234122452	-24.711475446556996	-93.47295951690516	-39.090176973000666	-663.5400801858063	1224.3458981629253	7
4	14	0.4724223362030525	7	295	-50.12095959700788	-3111.9417469302048	-24.425354903102885	-93.84783738586678	-39.86036354669532	-664.0392524725755	1224.1687600884509	17
5	15	0.16345016133082763	6	172	-50.755607269595856	-3111.969792962534	-25.07643368279901	-94.00770324003976	-42.0096483222031	-664.7638370954344	1223.8143989002767	30
6	10	0.1059007967485549	1	221	-47.11320202205833	-3111.9388358510414	-25.361215969234248	-93.85093981821089	-42.485898658079556	-664.1500184637249	1224.10481401887	19
7	9	0.8112008085909854	10	215	-49.78506360221475	-3111.950073155834	-23.96846542457999	-93.87730286663758	-38.72571259371311	-663.6613235285959	1224.3665435463397	11
8	11	0.22775883937394903	2	212	-47.10574979721434	-3111.8723759482104	-25.166331416957956	-93.71423309032905	-41.747351508659946	-663.9212083522742	1224.1871037086187	16
9	3	0.16026883878646525	13	112	-52.06334108098156	-3112.044775445409	-25.922328915598623	-94.23461608866828	-42.72680362889567	-665.3983730319105	1223.530629894335	53
10	15	0.30019341048062986	11	253	-51.11488071513948	-3111.972340632047	-25.309269311022877	-94.05651381065589	-41.61747981842681	-664.8140968574584	1223.7904121635486	32
11	6	0.27957986769158044	8	171	-50.41508711718808	-3111.9884611372945	-25.270431017105732	-93.96228543294174	-41.87386155369439	-664.702025251645	1223.853821127466	28
12	15	0.37378798094705046	5	87	-48.14826816430054	-3111.8717749981106	-24.447436930875334	-93.61343291296103	-40.860303250595294	-663.7882432513686	1224.2565708820507	15
13	14	0.45435934288861163	20	24	-51.918129574456295	-3111.962074139395	-25.588860946233282	-94.1788518221098	-42.37107750428588	-665.203798797296	1223.5883889227325	46
14	6	0.5239913557414945	6	150	-49.68615659903293	-3111.9455365423246	-24.883476348592595	-93.66045995404714	-37.75812601897619	-663.5867510925947	1224.3981379167167	9
15	6	0.2669645359194208	4	223	-49.11879514104807	-3111.9645289219775	-24.95073383715044	-93.84864256386261	-41.620208736095215	-664.3005818400268	1224.0442736065581	20
16	13	0.2542137624346864	13	127	-51.40644449033824	-3111.9750087900898	-25.292845318462525	-94.15694716589392	-42.26089985888471	-665.018429124734	1223.6890752860681	36
17	12	0.6049723328332037	4	130	-47.79127215170012	-3111.8397081162893	-25.60643607381357	-93.48602533229088	-37.45893566458063	-663.2364754677349	1224.5175181360853	4
18	15	0.30861914435616555	16	55	-51.96517674079339	-3111.984091166633	-25.688326839177126	-94.20417233413136	-42.17014249208081	-665.2023819145631	1223.6001761917682	45
19	3	0.3913764479178903	9	270	-51.19196539833454	-3112.000943835937	-24.91208042029513	-94.0020312742166	-41.63875506539506	-664.7491551988358	1223.8385575415755	29
