	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	311	-2.1646299239421984	-2.3998467498346043	-5.206672478179766	-2.7749577611395457	-2.6883624168973173	-3.046893865998686	1.1012899103092546	9
1	10	0.2854860642042318	15	123	-2.314338120220479	-2.457772566048306	-5.253068511663936	-2.9597424223823103	-2.816726126361103	-3.160329549335227	1.0721140503816033	45
2	11	0.12210780650989218	11	318	-2.3115474199564185	-2.509190880100714	-5.225843175128799	-2.971324472721669	-2.8515380620298223	-3.1738888019874847	1.0527027161568232	48
3	11	0.3161422215831339	5	483	-2.168514875107692	-2.3476262463338244	-5.208365089525261	-2.819078849727363	-2.684982980090431	-3.045713608156914	1.1059253963643882	7
4	10	0.2404036920490297	12	411	-2.2855142670832245	-2.448668609881959	-5.228080880681165	-2.927364965415606	-2.7935077373890467	-3.1366272920902	1.0708296216649809	35
5	13	0.47023751452725704	13	291	-2.283190497029872	-2.4361077518633585	-5.208572226647026	-2.920324648363359	-2.744851042213524	-3.118609233223428	1.0687085676331205	24
6	8	0.8502138809685273	17	351	-2.3023170361759577	-2.3841068676762056	-5.214830069468659	-2.9736036889564326	-2.769254445204248	-3.128822421496301	1.0716830035015315	30
7	3	0.7100592449330713	10	138	-2.272474802668978	-2.412913514938183	-5.216492995574628	-2.9165746863495974	-2.7682766778034966	-3.117346535466977	1.0750450304245038	23
8	7	0.8662222513716047	4	295	-2.119412183278851	-2.4217428955471387	-5.187513366521249	-2.809705747140383	-2.6086433359196217	-3.0294035056814486	1.1027311568081117	5
9	11	0.22775883937394903	2	292	-2.193014017879472	-2.432843848430639	-5.231508446401497	-2.710929275659964	-2.7164300284201053	-3.056945123358336	1.1045616776843237	12
10	3	0.16026883878646525	13	192	-2.4545117339852536	-2.566377719135105	-5.258472765370743	-3.041532815506333	-2.987089649539003	-3.2615969367072877	1.0243057969359879	58
11	15	0.30019341048062986	11	333	-2.2769914580990633	-2.478411320557923	-5.229238567293847	-2.885105778922495	-2.7840663531405485	-3.1307626956027756	1.0713201483376182	31
12	6	0.27957986769158044	8	251	-2.225932233505915	-2.3951629485180987	-5.219668343575848	-2.8728428445949534	-2.7171991733344507	-3.086161108705853	1.090959475682715	17
13	15	0.37378798094705046	5	167	-2.1641800501306023	-2.4033085780351757	-5.209075184181704	-2.743190965576898	-2.6249972124243324	-3.0289503980697425	1.1078841233741352	4
14	14	0.45435934288861163	20	104	-2.3312139561798935	-2.4288452013606565	-5.242121608420125	-2.999355643800384	-2.7513979455150683	-3.1505868710552254	1.0722894433295305	42
15	6	0.5239913557414945	6	429	-2.235411472084438	-2.40036993276446	-5.189479683404956	-2.8341803130253287	-2.640615442788235	-3.060011368813483	1.0841235838420256	13
16	4	0.5509584813680587	3	183	-2.2034799705006147	-2.4163865815032284	-5.20455261866337	-2.807786856705599	-2.651089149682447	-3.0566590354110517	1.0934106703846078	11
17	5	0.42000631841599434	4	303	-2.176039835108343	-2.3934340650293078	-5.2180130646293605	-2.8083246932776222	-2.6555914885579988	-3.0502806293205267	1.1053624273692457	10
18	13	0.2542137624346864	13	449	-2.2883198838447356	-2.4731034261002356	-5.239571900217683	-2.921435223025323	-2.875383085869832	-3.159562703811562	1.06716366137466	44
19	14	0.5121467177183854	13	423	-2.31766609845094	-2.433406998789083	-5.226727688401593	-2.9299855798708574	-2.769695270370958	-3.1354963271766865	1.0687440661488912	34
20	15	0.30861914435616555	16	415	-2.3524004549016038	-2.4483617912409765	-5.223492205063149	-2.9775304594193877	-2.8583519434904026	-3.172027370823104	1.0526356863375286	47
21	6	0.4457782270011809	12	350	-2.264731388068196	-2.461675077771093	-5.220044871716417	-2.888240654064427	-2.7781755779447064	-3.1225735139129682	1.0719690088877096	25
22	9	0.8811467095660294	14	139	-2.2482026275839115	-2.3827937344537298	-5.231394220646448	-2.9268940761794355	-2.7204838208983912	-3.101953695952383	1.0914910921506544	19
23	6	0.6895513801502724	13	435	-2.2962736076176804	-2.445980888529933	-5.211420837683771	-2.917457234235837	-2.7498887516041126	-3.1242042639342666	1.0662819121984946	26
24	11	0.12462304343612073	7	249	-2.2607948333523704	-2.4767595761582943	-5.23305413364658	-2.8737107720001314	-2.7960666175690982	-3.1280771865452945	1.0753840754212791	29
