	param_model_config__model_params__add_norm_dropout	param_model_config__model_params__attn_dropout	param_model_config__model_params__learning_rate	param_model_config__model_params__num_attn_blocks	param_model_config__model_params__num_heads	param_model_config__model_params__transformer_activation	param_selector_estimator_config__n_components	split6_test_score	mean_test_score	std_test_score	rank_test_score
0	0.05732570376904585	0.20223894343927362	0.0007530407234027137	5	2	Tanh	33	-0.30514802678264186	-89.50138640058265	100.17262311234005	18
1	0.12272061406736268	0.056890098256599096	0.0003442531796114806	5	1	LeakyReLU	10	-0.30535677492474755	-89.50329052113497	100.17699605355524	22
2	0.056270199529155115	0.08378974384425993	0.0065945786988649505	5	1	LeakyReLU	193	-0.304925067261892	-89.50391568762542	100.17408536737031	24
3	0.05228117858286003	0.14665196799837857	0.007948020906836665	1	2	Tanh	48	-0.30308946463295927	-89.46273075565702	100.13411849570979	2
4	0.25492321441597454	0.06347401571911221	0.0011138460302090533	1	4	LeakyReLU	267	-0.30167330344147314	-89.50684854193304	100.16931375139521	45
5	0.11559857407082302	0.07217280426658156	0.000958366839328984	5	6	Tanh	243	-0.30686359975744243	-89.50658260517812	100.17537883564367	41
6	0.22438661101689097	0.19819560631881775	0.0004246091556540976	1	6	GEGLU	77	-0.3063319255079783	-89.51134899729803	100.17093528733503	58
7	0.08716852832894144	0.08297909866514314	0.006950036417604084	4	2	Tanh	195	-0.3047450788365999	-89.50422402958428	100.17388779526568	25
8	0.2536906169462746	0.06908577875561835	0.003035552481913975	3	4	Tanh	31	-0.31257677987956817	-89.49392964606332	100.14408812806262	9
9	0.16225341002180385	0.07954572207398593	0.000646246370111992	5	4	GEGLU	120	-0.3119205701083964	-89.50462892459322	100.1711545920183	28
10	0.18716048430823748	0.12017524523120526	0.008090638785890258	4	4	LeakyReLU	270	-0.3032889271645587	-89.50244637285631	100.17462676616765	20
11	0.13574443613190398	0.23703852552726154	0.00019375638873084805	6	3	GEGLU	295	-0.30691126707020633	-89.50810459721993	100.17119397549972	50
12	0.1146175780762386	0.18890320707047742	0.0009368077122898705	5	4	GEGLU	207	-0.30657444197140044	-89.5187885882376	100.17136321304191	60
13	0.20438746002494537	0.27494980247726336	0.0003280267050763314	1	6	Tanh	224	-0.3064559943867468	-89.50548921467055	100.16142359997232	32
14	0.1138735138733324	0.06089350127219557	0.003962819651860829	3	6	GEGLU	244	-0.30308999104548784	-89.50338089403118	100.17656642411262	23
15	0.2689928141740365	0.053778213787452234	0.005640835693221088	2	1	LeakyReLU	192	-0.30557795681053584	-89.48340428547253	100.13971961008467	6
16	0.2084349484513364	0.1807560924257865	0.00019692241077723846	4	6	GEGLU	272	-0.3106831637889756	-89.4983575144789	100.17821864573038	12
17	0.11670218116733586	0.11694894817204507	0.007711776052172988	5	1	GEGLU	86	-0.31047909804657137	-89.5017337815693	100.16775178008601	19
18	0.0688354615095506	0.10092680070641814	0.007571562532681441	4	4	Tanh	73	-0.30304824826795285	-89.50630662657474	100.17052346883771	38
19	0.14306309701711092	0.06977587180560081	0.004213519692218625	6	2	GEGLU	126	-0.30588133906654713	-89.50672941468349	100.17341551627088	44
20	0.1400554604514498	0.06774622525313229	0.003668261626014927	3	1	Tanh	275	-0.3061847824038682	-89.5060073850353	100.17466748322106	36
21	0.1275336904949754	0.11977317909271161	0.0003357862960254306	1	1	GEGLU	171	-0.3044944171239513	-89.50667782196884	100.17259235415014	43
22	0.11029273991814163	0.18140171753916257	0.004905579491298163	3	3	Tanh	37	-0.30324117613211043	-89.48951952649281	100.15165795254055	8
23	0.13388463372028442	0.06716522567612729	0.00011777621946639623	5	4	Tanh	17	-0.31349244315353875	-89.50760384467785	100.17325156060643	49
24	0.15696459284966305	0.23465399036480433	0.0018760874166799254	1	1	LeakyReLU	19	-0.31624128312097255	-89.46210399427021	100.10457214845913	1
25	0.08993014755611609	0.05968023465203449	0.0013599809006000386	6	1	GEGLU	21	-0.30289504470466416	-89.50029321736034	100.16874594866488	15
26	0.269740925828753	0.29602612113586024	0.0003042326590786118	4	2	GEGLU	233	-0.30431705614324756	-89.5058503926607	100.1726717779552	34
27	0.19879420118709654	0.09371110084010519	0.00023729329918354566	6	4	GEGLU	87	-0.3104855131647843	-89.50691111799516	100.17312972213611	46
28	0.11205473674618349	0.1732587133045365	0.00026772699905856833	2	4	LeakyReLU	240	-0.3088731439136869	-89.49987896041033	100.17367046143058	13
29	0.10575835480994208	0.06920380579197939	0.0011016108546559086	5	4	LeakyReLU	132	-0.3140225303858518	-89.50862418995087	100.1701415425673	51
30	0.13969592076071227	0.19871860916570344	0.0006110777966175872	5	2	Tanh	194	-0.3057059544805587	-89.51053106693878	100.17561936270347	56
31	0.11731971834294744	0.20598551841943166	0.0001802489505376122	5	4	GEGLU	284	-0.325625864304454	-89.50550074755944	100.16902575627836	33
32	0.2696946448998363	0.21755356389257885	0.00012691680988757728	6	1	Tanh	256	-0.3081073718218615	-89.51495554392729	100.1690183763801	59
33	0.27246818593954103	0.14744519500132722	0.00037597579319873837	5	1	GEGLU	101	-0.30524351446570647	-89.51033342523041	100.16705712299701	55
34	0.050374092765253946	0.06503283733939594	0.00011839580168259654	1	2	LeakyReLU	193	-0.30513682055873664	-89.50525397513007	100.17470591283816	30
35	0.0536793228441009	0.293952425431202	0.004340002555607567	2	2	LeakyReLU	170	-0.3057627337612583	-89.48224354976979	100.13730558230876	5
