	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	87	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	13	0.18554061000532482	8	-47.99820872815914	-3112.0520111821475	-23.40808503770143	-93.41076555384483	-37.12572934142037	-662.7989599686546	1224.8519152135843	33
1	relu	0.010906615135918195	27	constant	0.0006107797357476622	0.8034486903225296	0.5706220912688632	15	0.22180581936443286	17	-48.27655492159717	-3112.0332153103886	-23.73394117628544	-93.5040930884504	-39.10865291285843	-663.331291481916	1224.5713658072846	56
2	tanh	0.0005816773961137696	54	constant	0.00022289766972186602	0.8558435802095217	0.7563405349345401	6	0.24246528401097586	20	-48.92781211905135	-3111.1264972172808	-24.50161037119795	-92.91134359302987	-39.57700898346312	-663.4088544568046	1224.0706399507258	60
3	relu	0.0003802479402135692	36	adaptive	0.0009231532539194187	0.7761665613768481	0.7658738407059074	13	0.18902302445154606	1	-51.35067090055867	-3111.9390850585773	-23.679509544497932	-93.32415108895354	-39.06963705688044	-663.8726107298936	1224.2519427813074	76
4	tanh	0.07477237695107163	112	constant	0.0003565316562441851	0.7037793196458801	0.34708485616107626	4	0.23461246524642448	5	-46.49302561068314	-3111.955249731884	-24.32183995734085	-93.52375504542452	-35.02940180467138	-662.2646544300007	1225.0730605866188	21
5	tanh	0.014387070359969409	50	invscaling	0.006499000020375756	0.5812032286412068	0.6187832110392849	5	0.31912082340829934	19	-49.775235333562655	-3111.22277287322	-24.303564909039952	-94.100113945447	-39.193831228688126	-663.7191036579915	1223.973130817243	71
6	tanh	0.00935226805295491	95	adaptive	0.000646246370111992	0.8002673450225446	0.40765091923308416	12	0.33446108690436305	15	-47.276798233389044	-3111.166607355532	-24.229533326819013	-93.63220581084124	-38.44578448599094	-662.9501858425144	1224.3292162181865	41
7	relu	0.07351991038521759	73	constant	0.00012771955048376278	0.6389837081887088	0.514816281126361	11	0.7388079788781127	12	-53.152309332813836	-3111.1786503711205	-26.394138219265592	-92.76302561282732	-37.00235178232031	-664.0980950636695	1223.7481086128068	84
8	tanh	0.03509155735368839	70	invscaling	0.0001829031919616398	0.638930145784026	0.4240974759080919	9	0.6293539579471764	13	-50.03781729203679	-3112.004265484712	-26.32533937039373	-93.53604994826178	-43.67951269686735	-665.1165969584542	1223.6440503486906	96
9	tanh	0.0010730243787788693	89	constant	0.00021429044214874655	0.6867057976579634	0.4136844602519063	5	0.33295851660208664	9	-51.39516951024654	-3111.0139594771385	-25.3558323991571	-93.38970171688955	-43.56497312759364	-664.943927246205	1223.2382964173096	94
10	relu	0.021609305265393567	113	adaptive	0.00034383409372387843	0.6066222073010736	0.3608150580001638	15	0.18904407593690284	16	-49.83507634849019	-3112.1368348138394	-26.517992790009348	-94.18712260810304	-39.2555682721756	-664.3865189665235	1224.0872026260763	90
