	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	87	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	13	0.18554061000532482	8	-48.17299093449332	-224.76477961150553	-32.0701892879853	-179.31521093404308	-72.18330780866572	-111.3012957153386	76.54126064980291	71
1	relu	0.010906615135918195	27	constant	0.0006107797357476622	0.8034486903225296	0.5706220912688632	15	0.22180581936443286	17	-35.78161326986643	-226.72599446707133	-11.767044362092598	-179.20724766760904	-33.22974547783061	-97.34232904889399	87.93778735685996	35
2	tanh	0.0005816773961137696	54	constant	0.00022289766972186602	0.8558435802095217	0.7563405349345401	6	0.24246528401097586	20	-58.746657730740914	-224.93181682354063	-37.16771846337998	-181.381377933697	-75.0620023002137	-115.45791465031445	73.90235379646872	82
3	relu	0.0003802479402135692	36	adaptive	0.0009231532539194187	0.7761665613768481	0.7658738407059074	13	0.18902302445154606	1	-38.78686977113395	-226.5302430846221	-11.610342892470092	-180.34697677136688	-16.88255641376399	-94.8313977866714	90.33300069350952	20
4	tanh	0.07477237695107163	112	constant	0.0003565316562441851	0.7037793196458801	0.34708485616107626	4	0.23461246524642448	5	-60.78337280613201	-228.0839542677866	-40.34374083658924	-177.63384940676806	-75.41164639962628	-116.45131274338044	73.18563479029815	89
5	tanh	0.014387070359969409	50	invscaling	0.006499000020375756	0.5812032286412068	0.6187832110392849	5	0.31912082340829934	19	-58.22398091038817	-225.17130990313598	-30.598348227343006	-178.1650669185807	-70.45570272419604	-112.52288173672878	75.40319915701517	73
6	tanh	0.00935226805295491	95	adaptive	0.000646246370111992	0.8002673450225446	0.40765091923308416	12	0.33446108690436305	15	-44.24474191647013	-227.54243715660945	-30.342088220149186	-179.22092046330803	-59.29707025275379	-108.12945160185811	79.78745460994034	63
7	relu	0.07351991038521759	73	constant	0.00012771955048376278	0.6389837081887088	0.514816281126361	11	0.7388079788781127	12	-47.57592129143572	-227.3370999694987	-20.10957895418567	-179.36910542714153	-40.54399224191709	-102.98713957683574	83.82762930268012	53
8	tanh	0.03509155735368839	70	invscaling	0.0001829031919616398	0.638930145784026	0.4240974759080919	9	0.6293539579471764	13	-47.19031963265111	-228.19740479084945	-39.92427687492428	-181.44105606727013	-76.38374405602	-114.62736028434298	76.09612901893914	78
9	tanh	0.0010730243787788693	89	constant	0.00021429044214874655	0.6867057976579634	0.4136844602519063	5	0.33295851660208664	9	-49.26029346142734	-224.75136606300003	-38.595076556714766	-177.89719709921735	-66.58816476059604	-111.41841958819111	75.41937191173139	72
10	relu	0.021609305265393567	113	adaptive	0.00034383409372387843	0.6066222073010736	0.3608150580001638	15	0.18904407593690284	16	-39.45892489987557	-226.8757236295241	-6.842205584075897	-180.34169425062177	-31.98481634977807	-97.10067294277508	88.85929128272844	31
11	tanh	0.014181647843079237	41	constant	0.0020772870702076367	0.5311634315044259	0.34994943984701526	4	0.2980126425536631	12	-48.98654670419589	-224.24881317462768	-42.01398371279779	-180.72343429753073	-57.57211192767965	-110.70897796336635	76.3485501673636	68
12	relu	0.015292688748561498	75	invscaling	0.0010636579819389216	0.580291589640942	0.3744010904743921	12	0.1632745803333744	12	-47.321959867589996	-225.55587500783008	-32.944643981622214	-180.73443788816078	-22.014270948916696	-101.71423753882397	84.40474486303924	50
13	tanh	0.001625345634238879	48	constant	0.00023550372214360294	0.865545131293638	0.506593186865828	4	0.628176097405552	15	-52.4036500816969	-227.1554851203979	-38.38325001137826	-179.54503615001587	-80.65764526149943	-115.62901332499766	74.44563516591441	83
14	tanh	0.00011414844219315596	116	adaptive	0.0009466639576437899	0.5992608494288486	0.4853801321824338	12	0.9443645612957102	12	-57.51235361475483	-224.74984047942218	-34.71409783029718	-177.7574732280962	-86.90296612256067	-116.32734625502621	72.82144955664948	86
15	tanh	0.0003215904845843358	100	constant	0.006582106841335654	0.5888898002602205	0.4090708198918478	3	0.38468017298941365	11	-42.717958120993316	-224.10734641368953	-11.96316102230102	-176.6526429356747	-19.813504512025737	-95.05092260093686	87.88331544157683	22
16	relu	0.0014954777716186544	47	constant	0.0004861635141021066	0.8172816661446389	0.42402075824941443	13	0.6632693345690645	18	-40.299925692643534	-223.88051265018453	-22.050945472599764	-180.28448416215127	-19.69158087980813	-97.24148977147745	86.99830926386424	34
17	tanh	0.038785212233704174	68	constant	0.0010853258668695306	0.6474274900817361	0.16914126574201463	14	0.16413754630057806	17	-57.829978552152134	-227.09057491402461	-30.69696592642499	-179.71753049774864	-86.3682908131273	-116.34066814069551	74.75139658934219	87
18	tanh	0.0007900343443589473	52	constant	0.008962468538692573	0.7481538877245855	0.15020134733206197	17	0.17494534618645616	17	-38.406179121519166	-223.93236601798932	-8.988800424477098	-177.11580999854644	-32.05204128399531	-96.09903936930547	87.0904751871243	27
19	tanh	0.02046405779254475	78	adaptive	0.005562299457756733	0.5107563617640489	0.2901166541816947	12	0.13201778087821908	4	-38.91303908734052	-223.69970196824755	-13.268516593028547	-179.0484490210149	-43.20729714855528	-99.62740076363735	84.88693363927999	43
20	tanh	0.0001234007502143831	52	invscaling	0.00013889268531057565	0.6623512222033495	0.39266967987429613	20	0.3319052356706517	15	-64.50750359749803	-225.25281341227992	-43.63503411057571	-178.27940902406817	-74.99352139788222	-117.3336563084608	71.24002469458487	91
21	relu	0.000893576308607207	36	invscaling	0.00020912445455836134	0.5866286985319349	0.3481577126319242	11	0.9090545612280351	2	-45.350954402784595	-227.99748923110818	-25.213387783220377	-181.90493680945715	-44.81177050815453	-105.05570774694495	83.17363914740093	56
22	tanh	0.00041748745080022925	73	adaptive	0.0038047569611662255	0.5575713675819486	0.6788959705513343	20	0.18893707439144922	19	-41.920504934779835	-224.0250975464575	-32.90579860004187	-178.2057527271024	-23.98030031021676	-100.20749082371967	83.84748495723083	47
23	tanh	0.00014298112869190447	89	invscaling	0.0011935803962069584	0.7421072835307523	0.4582387396795792	17	0.10143240654984023	7	-53.33558276124548	-224.57329839423886	-34.57545087173971	-181.7747891350577	-81.15324793623304	-115.08247381970295	74.67443639762527	81
24	tanh	0.002234156305718611	74	constant	0.0005941697224201799	0.5018720717438954	0.20269711525315712	8	0.18715258994527748	10	-50.67158699248539	-227.460796308961	-33.104128672735314	-177.87107458496612	-75.9191630752409	-113.00534992687776	76.0955975817259	75
25	relu	0.006725726953971518	98	adaptive	0.00026024990412581506	0.8245741720231328	0.28731157059043133	12	0.15418066999804228	1	-39.150079090060984	-226.64654247832627	-8.809754687566612	-180.27819436689563	-25.419460634291983	-96.0608062514283	89.42816060117437	26
26	tanh	0.00024491135595303696	104	constant	0.0007928569183996296	0.6753483966590775	0.5632920228791881	14	0.1272656803589481	14	-41.7913432819444	-227.29449426734817	-30.8775696645643	-179.02904411098646	-56.87452001478451	-107.17339426792557	80.27223090660115	61
27	tanh	0.02822812182257846	73	invscaling	0.0009929869254451831	0.8488974542584697	0.49553630708972674	6	0.3808073924901341	2	-53.15253438079748	-220.80938427960126	-36.80775124732748	-181.1336277078083	-44.91941974995287	-107.36454347309748	77.62500374267789	62
28	relu	0.0034652151105415085	94	adaptive	0.00032898719706645656	0.8811079522069883	0.39487759601949135	11	0.13246293367538706	13	-38.788279686739386	-226.48842589043124	-5.105915886427711	-180.3844363824623	-8.616835696575187	-91.87677870852717	92.98783844953421	7
29	tanh	0.007922466054666004	116	adaptive	0.0032218579891206208	0.7441842458514791	0.42031921225620184	19	0.3525575266895634	20	-43.55052857753477	-224.03635700237365	-19.35068542030342	-176.83769441970244	-25.36593815084305	-97.82824071415146	85.47112308181269	37
30	tanh	0.0035897371661615407	86	constant	0.003213934617013521	0.7527832952309944	0.7259017358693508	13	0.5190176246294469	14	-39.422583247414394	-226.66221634212684	-20.26201496873043	-177.25582947222463	-32.30152108915071	-99.18083302392941	85.57952884606678	41
31	relu	0.00022240377361746987	87	invscaling	0.002919065357563089	0.6668937046802679	0.35302555503997557	12	0.36557024674865646	5	-55.46141872161693	-227.30303004121626	-35.859923610778665	-180.76699091844552	-55.05680836779786	-110.88963433197105	77.78685325409428	70
32	relu	0.01188718545321504	56	adaptive	0.00022899974552548097	0.7776727185420633	0.39607656730628926	17	0.8019048324390964	20	-51.74066600383777	-224.14616608885046	-18.706886051698728	-180.58539042123274	-48.73610976246499	-104.78304366561693	81.67913846976795	55
33	relu	0.0004622843081529739	77	adaptive	0.007192950166458389	0.8764651683024249	0.38955427909624274	5	0.33900443986028334	20	-38.3998222609882	-226.4736128338545	-5.342262477026327	-180.2355099616356	-0.30360972474651554	-90.15096345165024	94.49056418686415	3
34	relu	0.0620674686032257	94	constant	0.002902970067180564	0.7356686066598868	0.16480726220147007	19	0.1888756780849716	11	-38.42232576652713	-226.4736128338545	-5.111175658657263	-180.22270124375214	-13.32635013769083	-92.71123312809637	92.16685570731738	9
35	relu	0.00014396846671362864	20	constant	0.007885996720273347	0.5410813054953264	0.4558461731218727	19	0.1639788556153613	11	-39.000203080353444	-226.52181524455992	-2.4599923583366765	-180.22410409247752	-22.221559486009138	-94.08553485234734	91.1628062798283	14
36	relu	0.06522355452165918	84	adaptive	0.00010263226366395223	0.9496437356287962	0.13344124888015507	3	0.7134124464618375	10	-39.99045607897331	-226.5911146312111	-10.232684019768712	-180.21036185328842	-26.042075330035644	-96.61333838265543	88.91654072111483	30
37	tanh	0.00673224516569129	65	constant	0.0046661364905886075	0.8910762738375515	0.7103334351421897	14	0.12525277138106686	5	-38.286650102958795	-226.5386135475261	-9.718423075867307	-178.8952895950988	-21.323600508334323	-94.95251536595705	89.7311300024301	21
38	relu	0.0010451587509585616	74	adaptive	0.00029900162416813614	0.7990658399969861	0.3619399282231158	10	0.24985075379050917	5	-38.12159523720332	-226.65339372898327	-14.368304471067868	-180.27804241769095	-37.43496736655486	-99.37126064430005	86.67153769856712	42
39	relu	0.00020449172623939247	107	adaptive	0.0023360441406204465	0.5509965513038609	0.551644398771317	3	0.11270855844205549	12	-38.73300361466966	-226.52338984817183	-5.450741175420728	-180.19611361810036	-22.608835485875883	-94.70241674844769	90.53381955025833	17
40	relu	0.00010626673373480599	85	invscaling	0.00021450027311528368	0.654293857156736	0.7669259763567436	9	0.4543875099860724	6	-53.33215475802522	-228.81527688675428	-54.87839970894389	-181.3996530760267	-96.48294624739309	-122.98168613542865	70.43394898999401	99
41	tanh	0.00021368986741874543	49	adaptive	0.0067272857834775055	0.569939293557234	0.4823669002263413	6	0.32400675036819465	8	-37.70439586544028	-223.8708216051406	-18.5034591171012	-177.09740770287047	-28.84053161879667	-97.20332318186985	85.83120892096663	32
42	relu	0.04977404930808188	43	constant	0.0016643068806744886	0.6987462971261347	0.14295079546465034	17	0.1729182095719084	9	-40.0036822200341	-226.53291082747498	-6.924517012576317	-180.22844742966873	-36.11365733248831	-97.96064296444848	88.05731641809686	38
43	tanh	0.0031001770403105266	46	adaptive	0.00010121589219075183	0.886053098473739	0.4133909082069429	18	0.19084010146073652	1	-41.04199945009336	-219.30493365031936	-27.53444555257943	-180.9606138716308	-61.17886483405082	-106.00417147173475	78.53969793964859	58
44	tanh	0.0017723647720554357	78	constant	0.0006106221896334783	0.8790329151387294	0.6075147672904995	11	0.10098581567225016	20	-47.91334516996449	-224.61007883803265	-23.03797827404029	-177.4701167844552	-32.14120951175776	-101.0345457156501	83.38456351686025	48
45	tanh	0.0006724400155480357	98	adaptive	0.007206928741976737	0.5805524330756248	0.5462385046047666	17	0.18437433273346765	13	-39.984273675731465	-223.7027781350043	-7.945083782704639	-177.13985089564125	-25.126587291918636	-94.77971475620005	88.08938637650297	19
46	tanh	0.0001550033021644269	107	adaptive	0.008392132794100223	0.9232148634500699	0.16833656469347902	5	0.9770440269180681	12	-38.5095734670264	-223.72648317032454	-14.182755530889342	-178.3658770554737	-8.524486624046258	-92.66183516955203	90.21491180492117	8
47	tanh	0.003183873555240304	101	constant	0.0007041413810564999	0.820547025279617	0.29236166833422195	6	0.3483075094983197	6	-44.251596930560275	-224.13741644202807	-29.535441228767255	-178.89986771758961	-70.18503517454637	-109.4018714986983	77.66000510368865	65
48	relu	0.0020492266976313463	20	adaptive	0.004112544763771687	0.7180110284173985	0.34619117371823094	15	0.12209127292864788	1	-41.31890838231669	-226.48125122398648	-2.922642919445474	-180.18088860196747	-15.8162253978572	-93.34398330511466	91.82522604864761	12
49	relu	0.03739612650684661	85	constant	0.0004997093417004104	0.756301949026445	0.6616748926181727	7	0.9813156015652795	15	-41.79002544538003	-226.4736128338545	-15.652669621045575	-180.35569696531084	-18.079187419620617	-96.47023845704231	88.99911180322364	29
50	tanh	0.0029051961369212	46	invscaling	0.00016412784401149621	0.790860208709819	0.7449653564748366	20	0.9710798599310109	13	-54.20952600819606	-227.7282173325572	-37.26511288774316	-177.82979068646398	-84.71213601224899	-116.34895658544187	73.8940921437947	88
51	tanh	0.00047368715467469843	101	adaptive	0.0067926053275795765	0.6220457635514465	0.3244660148263089	18	0.280853701011141	9	-37.03938300603805	-223.64372769969034	-13.583841484667603	-177.06492175263656	-22.364516041570464	-94.7392779969206	87.80371028437665	18
52	tanh	0.018088214834563007	65	invscaling	0.0005453990680220182	0.847543517649594	0.26446986568180025	15	0.1772890309336007	6	-54.46444167229488	-225.1816245553774	-44.521854287191516	-181.1317117850246	-83.51606468951775	-117.76313939788125	72.24704841641154	92
