	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	tanh	0.00048085843592358274	87	constant	0.00041307178405732535	0.6187418775670543	0.16072040088799436	13	0.18554061000532482	8	-2.801925553972732	-2.8243390159356387	-5.317050000391714	-2.9694534440845963	-3.083373263935407	-3.399228255664018	0.9643421762446748	63
1	relu	0.010906615135918195	27	constant	0.0006107797357476622	0.8034486903225296	0.5706220912688632	15	0.22180581936443286	17	-2.4078809552203873	-2.391140463728351	-5.310824787206138	-3.0460002154549675	-2.885393590017683	-3.2082480023255053	1.0825562887844735	39
2	tanh	0.0005816773961137696	54	constant	0.00022289766972186602	0.8558435802095217	0.7563405349345401	6	0.24246528401097586	20	-2.50972082932626	-2.7388318970583274	-5.4240726800699415	-3.0589461256621315	-3.050638371905468	-3.3564419808044255	1.0540868335666707	62
3	relu	0.0003802479402135692	36	adaptive	0.0009231532539194187	0.7761665613768481	0.7658738407059074	13	0.18902302445154606	1	-2.3830696104098843	-2.226520967399329	-5.325754102980765	-2.796021910503698	-2.679955358574117	-3.0822643899735587	1.1400178552299889	16
4	tanh	0.07477237695107163	112	constant	0.0003565316562441851	0.7037793196458801	0.34708485616107626	4	0.23461246524642448	5	-2.654675917725127	-2.681621499027605	-5.595768119908089	-3.131834323344675	-3.2174257233783314	-3.4562651166767657	1.093836429684952	67
5	tanh	0.014387070359969409	50	invscaling	0.006499000020375756	0.5812032286412068	0.6187832110392849	5	0.31912082340829934	19	-2.7698141635606848	-2.5370514066317202	-5.402880762894235	-3.5621967991014847	-3.194142422017356	-3.4932171108410963	1.0177017056977595	71
6	tanh	0.00935226805295491	95	adaptive	0.000646246370111992	0.8002673450225446	0.40765091923308416	12	0.33446108690436305	15	-3.109952278681672	-2.5353551259515372	-5.434626777553794	-3.0564640544034662	-2.9854692205451023	-3.4243734914271142	1.0255073808032613	65
7	relu	0.07351991038521759	73	constant	0.00012771955048376278	0.6389837081887088	0.514816281126361	11	0.7388079788781127	12	-3.032204825229298	-3.7089210832011936	-5.555662610243178	-3.1232024626370882	-4.0983423625253135	-3.903666668767214	0.913617554700383	92
8	tanh	0.03509155735368839	70	invscaling	0.0001829031919616398	0.638930145784026	0.4240974759080919	9	0.6293539579471764	13	-3.7270421466417676	-3.2565613158391566	-5.562785869990602	-3.9823193647570014	-3.3900113792426074	-3.983744015294227	0.8295280802216829	95
9	tanh	0.0010730243787788693	89	constant	0.00021429044214874655	0.6867057976579634	0.4136844602519063	5	0.33295851660208664	9	-2.736571122651469	-3.5485447001166763	-5.454094193725138	-2.863404716284395	-3.435439261006972	-3.60761079875693	0.9752113187255476	77
10	relu	0.021609305265393567	113	adaptive	0.00034383409372387843	0.6066222073010736	0.3608150580001638	15	0.18904407593690284	16	-2.548843429930956	-2.433358029511086	-5.3578851393905955	-2.812943959533802	-2.9769410949845634	-3.2259943306702006	1.082996047259183	43
11	tanh	0.014181647843079237	41	constant	0.0020772870702076367	0.5311634315044259	0.34994943984701526	4	0.2980126425536631	12	-2.401082015395629	-2.405184497419336	-5.39366063771369	-3.020594849003276	-2.9771787975594846	-3.239540159418283	1.1096095708084333	44
12	relu	0.015292688748561498	75	invscaling	0.0010636579819389216	0.580291589640942	0.3744010904743921	12	0.1632745803333744	12	-3.6040778835391527	-3.48221913094382	-5.547957487356267	-4.023699964084585	-3.9771667905936527	-4.127024251303496	0.7404635001104475	100
13	tanh	0.001625345634238879	48	constant	0.00023550372214360294	0.865545131293638	0.506593186865828	4	0.628176097405552	15	-2.600162571815354	-2.7949962314962757	-5.423253157594795	-2.894635018925211	-3.602311549221712	-3.4630717058106697	1.036895012797527	68
14	tanh	0.00011414844219315596	116	adaptive	0.0009466639576437899	0.5992608494288486	0.4853801321824338	12	0.9443645612957102	12	-2.538343089162522	-2.5495084403278505	-5.460258884860537	-2.9583733071294236	-3.0970031745524227	-3.320697379206551	1.0923233844862885	58
15	tanh	0.0003215904845843358	100	constant	0.006582106841335654	0.5888898002602205	0.4090708198918478	3	0.38468017298941365	11	-2.3501734642163155	-2.3162484391460594	-5.362279497433213	-2.7868165927986115	-2.7663511967793513	-3.11637383807471	1.1403928906287848	23
16	relu	0.0014954777716186544	47	constant	0.0004861635141021066	0.8172816661446389	0.42402075824941443	13	0.6632693345690645	18	-2.330391902970075	-2.8377296791710918	-5.282144516270455	-2.983400728910459	-2.655222794201063	-3.2177779243046287	1.0549787665768753	41
