	param_regressor__regressor__classifier__max_depth	param_regressor__regressor__classifier__max_features	param_regressor__regressor__classifier__min_samples_leaf	param_regressor__regressor__regressor__C	param_regressor__regressor__regressor__epsilon	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	18	0.16878703329718756	4	9.045775271452959	0.06642623740593294	0.0034678781225883117	poly	-336.4465297672964	-3111.4463473665887	-1911037.154212338	-93.79556018307258	-40.27199755773693	-382923.8229294425	764057.5290721998	53
1	11	0.12210780650989218	11	0.34425317961148044	0.09989183779852141	0.24897169764256202	poly	-320.19398035	-3111.4408315107385	-1575004.9441957485	-93.8009678294181	-40.26575506357352	-315714.12914610043	629646.4581869473	50
2	10	0.2404036920490297	12	2.2318286374355	0.4889552267823676	0.295228226143896	poly	-193.8122670004032	-3111.371125663352	-163275.60467135566	-93.76359364707466	-39.61983701308326	-33342.83429893591	64976.809155551426	44
3	8	0.8502138809685273	17	1.5889046459932465	6.317103633551272	0.0014174716941154197	rbf	-75.37532136198391	-3109.361444358826	-66.08710265246252	-111.67051843749448	-72.71495632911754	-687.0418686279769	1211.264022349839	35
4	9	0.8112008085909854	10	0.7900445668189262	0.03456195192645972	0.006128810667082614	poly	-352.33282390573686	-3111.4517140458	-2298641.943864793	-93.77317336915381	-40.37569359444692	-460447.9754539416	919097.7000613307	57
5	3	0.12603001028548488	13	0.555609136573991	0.08120908540703026	0.006752303101068003	poly	-329.12953352092376	-3111.4440185685658	-1754700.2950969962	-93.80054456535959	-40.318206311536315	-351654.9974799925	701523.5903637809	51
6	3	0.587012712467264	1	0.3565316562441852	0.06476967683745716	0.005819582506376546	poly	-337.26282397736793	-3111.446743378188	-1929982.5136923913	-93.7807019132587	-40.18590053397179	-386713.0379724388	771635.5927153456	54
7	4	0.23461246524642448	5	0.7356721717486377	0.047318274864140156	8.533274731577373	poly	-346.1693191933659	-3111.449645406423	-2134718.217966558	-93.78897556738582	-40.39425453676653	-427662.0040322525	853528.8786015464	56
8	20	0.5509584813680587	3	1.0183809993279098	0.31118832517471035	0.1926910648169127	poly	-242.03383780945003	-3111.4027641592725	-463800.4637839463	-93.7344219087778	-39.840409292485326	-93457.49504342326	185175.10798602807	45
9	18	0.10032909171299549	12	2.6229426046971573	0.12513603414901658	0.30255359494091405	rbf	-52.29695670310618	-3111.6216389583456	-25.735526757165754	-94.2922828273369	-42.893706068719894	-665.3680222629348	1223.3351456099304	17
