	param_regressor__regressor__classifier__max_depth	param_regressor__regressor__classifier__max_features	param_regressor__regressor__classifier__min_samples_leaf	param_regressor__regressor__regressor__C	param_regressor__regressor__regressor__epsilon	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	18	0.16878703329718756	4	9.045775271452959	0.06642623740593294	0.0034678781225883117	poly	-2.2510228035394304	-2.2567199875689523	-5.315417810534627	-2.7083452059593704	-2.66372283812456	-3.0390457291453883	1.1545660361106944	10
1	11	0.12210780650989218	11	0.34425317961148044	0.09989183779852141	0.24897169764256202	poly	-2.249319657401718	-2.2568180790236787	-5.31575370491077	-2.7207121566506127	-2.7269450214428703	-3.05390972388593	1.1503551621432215	17
2	10	0.2404036920490297	12	2.2318286374355	0.4889552267823676	0.295228226143896	poly	-2.2352743967791633	-2.305075966587802	-5.300621091495189	-2.705954421599714	-2.689245514800788	-3.047234278252531	1.1430186205050084	14
3	8	0.8502138809685273	17	1.5889046459932465	6.317103633551272	0.0014174716941154197	rbf	-2.316653327090029	-2.687636295175438	-5.314848108767934	-2.8792725239182366	-3.0356556358820375	-3.246813178166735	1.0615383412202062	57
4	9	0.8112008085909854	10	0.7900445668189262	0.03456195192645972	0.006128810667082614	poly	-2.2791753009884665	-2.3346123207251472	-5.315994429202857	-2.7507121030327517	-2.6824213431652644	-3.0725830994228978	1.1369097003523758	21
5	3	0.12603001028548488	13	0.555609136573991	0.08120908540703026	0.006752303101068003	poly	-2.2502511142871984	-2.1667721907470905	-5.315571322037277	-2.6922234649249592	-2.6651680899869903	-3.0179972363967034	1.1682021932951177	2
6	3	0.587012712467264	1	0.3565316562441852	0.06476967683745716	0.005819582506376546	poly	-2.2511238794418236	-2.2567242222711448	-5.286733371903708	-2.6804231611413925	-2.66361135240098	-3.02772319743181	1.1448901816041521	6
7	4	0.23461246524642448	5	0.7356721717486377	0.047318274864140156	8.533274731577373	poly	-2.252140203646373	-2.2567754470213957	-5.308258632795814	-2.6981820275558253	-2.6625598009466374	-3.035583222393209	1.1522468550511908	7
8	20	0.5509584813680587	3	1.0183809993279098	0.31118832517471035	0.1926910648169127	poly	-2.2381490300037603	-2.2601270610991375	-5.310526588970883	-2.7388216344728953	-2.6955544236854214	-3.04863574764642	1.1502552805664252	15
9	18	0.10032909171299549	12	2.6229426046971573	0.12513603414901658	0.30255359494091405	rbf	-2.502774583256127	-2.4398437941374267	-5.297318923428901	-3.008927506294309	-2.909841945405647	-3.231741350504482	1.056254726235643	54
10	18	0.14247516352026016	17	1.5317552398482512	0.008719300172377112	6.6812080802976785	poly	-2.3286693976088992	-2.2569105464979056	-5.333143050170953	-2.7202587929516224	-2.776586577050218	-3.0831136728559194	1.1436828663201069	24
11	18	0.7053438448376642	19	2.105812010532415	2.2608228203664384	0.04600319237966473	poly	-2.43785915658785	-2.395310370579419	-5.328345132755738	-2.856816578871463	-2.950698187299624	-3.193805885218819	1.0897680017400604	47
