	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_lambda	param_model_conifg__max_depth	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.03718635067633043	7.511186600478471	398	0.0017062829878430163	9	-2.5256248	-2.5740728	-5.2334266	-3.0591319	-3.0822625	-3.2949035	1.1146818	136
1	0.8004481854639751	0.45305055346283163	0.02234843752377777	5.49894250743004	118	0.2986797869222453	9	-2.560888	-2.6522853	-5.2179446	-3.0410168	-3.0469704	-3.3038208	1.0926294	173
2	0.7523764532594154	0.42308809983893503	0.023707516845318268	9.186341749476522	94	0.0024204256407323035	10	-2.5855684	-2.594121	-5.240156	-3.0547938	-3.0034301	-3.2956138	1.1091514	140
3	0.9724824078756087	0.22200621499670528	0.06044107157955396	9.55116550372281	362	0.0004968337116743803	8	-2.5272872	-2.50262	-5.2288003	-2.8591893	-2.951308	-3.213841	1.1436732	4
4	0.9636513499546925	0.7525302842203259	0.04797063502092494	7.753688731918314	307	0.0074303870870243245	8	-2.5934622	-2.62653	-5.2238975	-3.0138726	-3.0565982	-3.3028722	1.0948986	170
5	0.7930547609650072	3.1071470016590133	0.17282343335636097	4.138807380892437	283	0.22473565355202207	9	-2.6363025	-2.5931916	-5.2428093	-3.0423608	-3.1482453	-3.3325818	1.0952945	255
6	0.7255978708850649	2.9058641299553747	0.022863783135409186	5.075586392917604	117	0.0017411531294131326	3	-2.6016226	-2.5890682	-5.2215724	-3.0078397	-3.0437555	-3.2927718	1.0995855	126
7	0.7481404331952141	2.349555591668014	0.08627048905323088	4.716926462024511	279	0.1493757136599663	3	-2.5050619	-2.5967615	-5.235444	-2.925034	-3.0234165	-3.2571435	1.1269794	37
8	0.8964475491653057	2.169632813851388	0.03587805487837893	6.709418817704549	117	0.001087785044617476	2	-2.571771	-2.5946264	-5.2265615	-3.06631	-3.0938077	-3.310615	1.0995536	190
9	0.8669043066867064	2.25355643463159	0.10400670833592895	7.161660315583974	192	0.6635494476750942	7	-2.6249187	-2.5092425	-5.261947	-3.0572457	-3.1073496	-3.3121407	1.1208898	200
10	0.9815965624246856	0.8533219040436901	0.0699073915986927	6.016721748680499	300	0.0003754153817401947	9	-2.5812287	-2.5213592	-5.1996694	-2.953752	-3.017016	-3.254605	1.1092026	33
11	0.8636933281192898	3.3423780159893326	0.12331058033348657	5.793018346865497	335	0.007111898938872145	8	-2.6159434	-2.5960345	-5.2231665	-2.9823668	-3.082107	-3.2999237	1.0966356	156
12	0.919557987111286	2.071703573097981	0.07724857183263156	5.517311401067938	247	0.1390806693696889	2	-2.5534031	-2.5738764	-5.2196956	-3.0931556	-3.145637	-3.3171535	1.0994357	223
13	0.9099601503256068	4.002314433834488	0.04782392603033652	5.145672665469492	156	0.3541243638904195	3	-2.6315484	-2.5923476	-5.2262993	-3.10573	-3.0746925	-3.3261235	1.0889584	244
14	0.9504300439372034	1.414054898184878	0.02033591675071055	4.353336460002105	382	0.0012771805314591635	8	-2.5690255	-2.554235	-5.239943	-2.9905987	-2.9979742	-3.2703552	1.1220988	63
15	0.9187043827727609	3.614486938148627	0.01553972771509569	6.928734330587309	283	0.00963980448334129	10	-2.6486065	-2.571719	-5.2251263	-3.0851445	-3.0947804	-3.3250751	1.0892602	243
16	0.9251318200654826	2.195753681834998	0.060315456101352645	7.553451548324205	297	0.10742897341137396	6	-2.6162837	-2.5871742	-5.243328	-3.005219	-3.0614069	-3.3026824	1.1063339	168
17	0.756800623128224	4.704004508047905	0.01892402243389382	8.319666433855419	388	0.20597417877308574	2	-2.6378796	-2.61678	-5.23115	-3.0896983	-3.0315351	-3.3214087	1.0895575	236
18	0.674399555111372	4.080380318530725	0.05697704255819057	5.022392862977577	95	0.0007876160322236518	2	-2.5860505	-2.6209269	-5.2069173	-3.0644047	-3.0783849	-3.311337	1.0852618	197
19	0.9427902504447041	0.2650036020639561	0.049315889211650206	8.17256221699208	319	0.00891681843951797	3	-2.5287178	-2.5376768	-5.220012	-2.925126	-2.990581	-3.2404227	1.1270518	14
20	0.6676404253461533	4.395834557890013	0.15236094472959757	2.7777960052044115	305	0.7080728662643101	6	-2.6499238	-2.720805	-5.2636943	-3.0773969	-3.090837	-3.3605313	1.0827214	279
