	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_config__threshold	param_selector_estimator_config__alpha	param_selector_estimator_config__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.04442051547936957	7.511186600478471	285	0.9814768764690818	0.7138871482375893	10	1.5*mean	0.5939051701261515	0.036482615065579885	-48.440918	-3111.7468	-25.380428	-93.53185	-39.97799	-663.81555	1368.6718	97
1	0.7571769239483367	3.4042190724008785	0.0984224415303551	7.246284178796918	291	0.4703194864906779	27.829354606831092	7	mean	0.42439423005692484	0.4113784347835972	-49.426754	-3111.8254	-25.351213	-93.25502	-40.5533	-664.0824	1368.563	113
2	0.6921211516083859	2.787600604256549	0.22023829984609014	2.1985250118332513	295	5.9668285597373165	2.983045725871743	2	mean	0.25851267380428977	0.06820190802728361	-49.700626	-3111.9417	-26.39406	-93.514336	-38.743576	-664.0589	1368.642	112
3	0.7489538757540236	2.4392656587727832	0.0347107874126627	8.541261948783346	251	0.04615827183596095	0.033721063755484455	6	0.5*median	0.3969749847575911	0.033653961775611294	-48.33223	-3111.361	-25.097301	-93.28624	-33.231846	-662.2618	1369.3417	10
4	0.7130878906558487	4.612868346643117	0.043661527076940584	4.768815031028735	285	22.53369874356361	0.046503444980309463	4	0.5*median	0.3412320042091115	0.11961685184084263	-51.27571	-3111.9946	-25.910872	-93.86396	-42.678864	-665.14484	1368.0603	139
5	0.8091624804113381	2.1329412943532717	0.010048648978092845	1.8303611126207686	333	7.791412825488425	3.4073900729918005	6	1.5*median	0.6607942181034094	0.01824728386708596	-49.003605	-3111.8696	-25.580706	-93.68263	-41.173584	-664.2621	1368.4882	118
6	0.8596475410240729	2.8313262853927164	0.19183438442541426	2.29265214134331	315	2.744632980292315	2.8031394193931862	10	1.5*median	0.367580088291994	0.01708238163492359	-46.68192	-3111.8005	-26.201706	-93.42143	-38.895245	-663.40015	1368.933	67
7	0.7374146118817433	1.6896882313949708	0.027781465334642305	2.489512604192087	269	0.08998421469987906	0.8375808970965196	8	0.5*mean	0.38480948744732923	0.0606173653273048	-46.767643	-3111.248	-26.19661	-92.88887	-38.28333	-663.0769	1368.8021	47
8	0.9112854406175587	4.4477158640784005	0.0992971674928531	8.20431144098617	117	0.07523630128098245	0.23889667702015635	10	1.5*mean	0.2492676632066552	0.04753892793783129	-47.955837	-3111.3079	-26.008142	-92.90391	-37.706863	-663.17645	1368.7814	59
9	0.9366518561457025	3.954979902713496	0.0884120221675715	5.464153507453469	325	0.567779734944974	30.921729504726432	10	0.5*median	0.5595432930928684	0.1959261374251077	-48.66519	-3111.8264	-24.855167	-93.41326	-40.733223	-663.8987	1368.6698	106
10	0.6028573101115994	2.159258484995422	0.048317933470839056	1.4994955280145041	399	1.7706216863649973	11.59907931817914	2	1.5*median	0.23482868599575893	0.024631723675363523	-47.97982	-3111.7676	-25.309557	-93.01755	-37.76852	-663.1686	1369.0468	58
11	0.8636633588282243	0.7491225452020679	0.02142847759780579	6.173763288302342	145	0.011772262073409995	3.3826611777497044	2	0.5*mean	0.5427824064461668	0.4536626949245679	-44.82897	-3111.572	-25.483469	-93.02843	-37.482635	-662.47906	1369.3252	20
12	0.7097034372777685	0.9285952104903784	0.19723935697353448	9.182642173847638	261	0.4297395000833836	4.575284645014641	2	1.5*median	0.246935319416369	0.13482248318452836	-44.409172	-3111.485	-25.69478	-93.26249	-38.790913	-662.7285	1369.1356	32
