	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.03718635067633043	7.511186600478471	285	0.9814768764690818	0.7138871482375893	10	-37.977264	-226.14911	-2.500802	-179.72493	-0.41700405	-89.35382	106.033775	70
1	0.799953000330224	3.4282269809926085	0.11109348598929245	4.4284701983368455	175	3.1212460622976557	3.068184185633249	7	-37.724117	-226.46924	-2.4799914	-179.7936	-0.30611837	-89.35461	106.20989	72
2	0.9718112764692486	1.3866604732126457	0.09479050316209708	3.2940465625462343	390	0.07110226594659112	1.068680189842134	6	-41.70186	-226.12836	-2.455665	-179.12772	-0.32985082	-89.948685	105.48948	170
3	0.9750517342483087	2.299246397351635	0.03165487642590819	4.21727716938495	357	0.53728386380407	0.0572440879667854	9	-37.75885	-226.4721	-2.512055	-179.76454	-0.32453558	-89.36642	106.19	79
4	0.739502550261886	1.4549220681622486	0.03809934967341577	9.621223560168982	192	1.3125743984880438	0.10497772322989421	5	-37.754932	-226.18814	-2.5232337	-179.91531	-0.39048892	-89.35442	106.1149	71
5	0.8188940505772184	1.620025285491775	0.02332527886896	9.288941861181236	375	4.5788704115200325	0.33701124172585145	7	-37.87257	-226.21095	-2.48745	-179.87038	-0.37797463	-89.36386	106.10833	75
6	0.917427999318992	1.7821949976048057	0.024589525418001294	5.535596294984833	121	2.692284110724657	0.09089404764894317	2	-37.66559	-226.4289	-2.4635992	-179.60036	-0.38138008	-89.30797	106.15046	43
7	0.8669043066867064	2.25355643463159	0.10400670833592895	7.161660315583974	242	34.21753080271123	3.35797812661897	5	-38.110504	-226.47021	-2.4582405	-180.17648	-0.3085416	-89.5048	106.24892	160
8	0.8596475410240729	2.8313262853927164	0.1348918260744495	2.29265214134331	315	2.744632980292315	2.8031394193931862	10	-66.01615	-226.42772	-2.5009322	-179.31831	-0.33795905	-94.92021	103.36807	182
9	0.6382393412049031	4.014585342113254	0.03338254845003212	7.142067559747612	309	0.15850489188129138	0.12919345593713957	6	-38.00511	-226.16231	-2.5036495	-179.65288	-0.42486238	-89.34977	106.01708	67
10	0.9805344564166718	1.3639775439783277	0.04746589434311444	8.812931926306458	326	0.8556682430366354	0.5056588918766836	6	-37.932125	-226.15536	-2.508357	-179.85605	-0.42775846	-89.37593	106.06541	89
11	0.8699675079467151	4.022347340092471	0.16665257960811075	1.365902284930172	205	0.07281071032095678	0.044689209812777686	7	-81.68794	-226.42738	-2.5119529	-178.19334	-0.31970978	-97.828064	102.28625	192
12	0.886896892910092	0.8210231025142959	0.07195338742509158	1.623268630088519	362	0.5621073258712079	0.567779734944974	10	-91.20754	-226.42914	-2.4974205	-177.73042	-0.3433252	-99.64156	101.90832	198
13	0.616629200640999	3.813123746413917	0.046553260451671845	2.60583179281884	299	0.5165673804804898	0.0160431999878904	4	-78.09027	-226.1467	-2.5143068	-178.63623	-0.3127352	-97.14005	102.4412	190
14	0.9313812779984502	4.714865414138098	0.014679937343403235	3.073876069691975	315	0.4499767354924461	8.955280345192081	6	-37.371185	-226.46939	-2.4607425	-179.74701	-0.3052698	-89.27072	106.24714	29
15	0.8299450350356596	0.9306662454744249	0.10416093996506437	8.712780635005842	283	0.9337640648614388	8.869500572732953	7	-37.531143	-226.08017	-2.4773452	-179.84929	-0.41718522	-89.271034	106.09704	30
16	0.7097034372777685	0.9285952104903784	0.13823378745957354	9.182642173847638	261	0.4297395000833836	4.575284645014641	2	-37.54538	-226.18297	-2.5026555	-179.93413	-0.4030791	-89.31364	106.144325	46
17	0.8340399210699656	0.9079989497240474	0.03232024590276139	9.500994361545347	108	0.04067073116127244	0.013533807138955412	5	-38.01038	-226.38051	-2.4857788	-179.99786	-0.39284638	-89.453476	106.1707	128
18	0.8113730223320909	4.126280601622618	0.06771388911688546	8.76599851677269	331	0.035722788478791394	0.01218373588643852	10	-38.006	-226.2391	-2.5262842	-179.82953	-0.42816338	-89.405815	106.07404	103
19	0.6395092947097226	2.8771553826287035	0.0190542553567716	1.1061170795046733	111	30.163260054041306	46.928992519002094	7	-38.115437	-226.47066	-2.4578598	-180.17648	-0.30577037	-89.50523	106.24912	163
20	0.8205812335329649	0.4514094313244339	0.027697363584675772	3.1861215466814583	323	7.070167871422788	0.19809094355792942	4	-39.40635	-226.27052	-2.4757674	-179.51605	-0.30450225	-89.59464	105.886086	165
21	0.9490508732576748	0.21712482809742123	0.022560749749812765	3.494976244248657	177	0.4633671695781121	3.67792285448358	2	-37.242336	-226.2867	-2.460976	-179.6242	-0.3128458	-89.18541	106.176125	13
22	0.7295195611457219	3.725475296138409	0.01727944198243881	7.264197443668831	161	0.054226610784048515	2.5471053619943316	2	-37.97839	-226.24625	-2.480803	-179.91052	-0.38416493	-89.400024	106.1155	98
23	0.875614867091782	2.909797231430488	0.10044932807469509	4.537434268037864	280	0.05794889986916388	25.019451965477465	10	-37.541073	-226.47223	-2.4783792	-179.54541	-0.31926274	-89.27128	106.177925	31
24	0.7904005202855966	3.9718009547180015	0.014670639928338336	8.442948192802872	374	30.138667114325322	10.854005417990594	8	-38.111935	-226.47041	-2.4572973	-180.17648	-0.30603692	-89.50443	106.24952	153
25	0.7530044555719335	3.2856288102803006	0.05955537095415104	7.767582050279868	257	0.7816647069723751	0.07867528840302082	6	-37.991108	-226.1929	-2.5095217	-179.69044	-0.4139007	-89.35957	106.037735	74
26	0.8414238206781945	1.5091417163875114	0.07495015258623781	7.4084390810325536	191	0.010360681065398888	0.03488803411698116	7	-37.979828	-225.89442	-2.5284114	-179.25354	-0.4420611	-89.21965	105.84003	17
27	0.708878336622195	1.3868402951123036	0.06203658105992845	2.334652654064514	290	10.678571721951554	2.261533744858995	5	-38.273678	-226.37996	-2.4788404	-179.75876	-0.31119204	-89.44048	106.10633	121
28	0.9241427907575803	0.546065891588694	0.014747013994261121	7.1163709076281165	312	20.551071531789308	0.5127962536296722	6	-37.962425	-226.42429	-2.466136	-180.04109	-0.34416762	-89.44762	106.21407	127
29	0.7046076258567096	3.785957822969411	0.16584421645302796	7.081161694066252	226	8.039845256464341	0.034583094733160936	4	-37.849083	-226.32878	-2.4844465	-179.89203	-0.3522449	-89.38131	106.1598	92
30	0.7215288388154071	2.456533867254308	0.025695863952666848	1.3421998892699376	374	0.09047212658941944	13.573191098483154	9	-56.26962	-226.4667	-2.5150034	-179.71887	-0.35945967	-93.06593	104.226234	179
31	0.8719074156652017	0.6982624090745744	0.013199028790462086	6.696581161143533	224	0.14076999266355286	6.154888039637078	3	-37.69775	-226.39508	-2.4650085	-179.8719	-0.4115947	-89.36827	106.18681	83
32	0.6814035220670667	1.526440281326303	0.05151843153164804	7.446615778027911	278	0.1632801235722974	0.013504391284446887	6	-37.97325	-225.94211	-2.5204773	-179.30072	-0.46753547	-89.240814	105.86253	20
33	0.8331176099006692	3.1774827318748833	0.08520662666687567	3.1892294575793803	295	0.2496575175605968	0.042426907381572655	6	-39.339264	-226.09279	-2.5337183	-179.07774	-0.30927566	-89.47056	105.73076	137
34	0.7445860314514147	4.3950075667989035	0.026657465235421483	9.000897371956983	264	0.1648710458152589	0.01660387682587548	5	-37.935905	-226.31253	-2.5324907	-179.92917	-0.3765724	-89.41734	106.13701	112
35	0.7691866098893082	3.1994086428419606	0.15006897713540357	6.3925074836769635	393	0.05615673931673944	27.184524575427425	10	-37.29468	-226.29584	-2.4777327	-179.64812	-0.36536017	-89.21635	106.16337	16
36	0.6539458525587587	4.810829195845826	0.04895680994458457	1.3885294203776932	295	0.09540823661422747	18.272516715182366	2	-40.25579	-226.46675	-2.4831522	-179.78922	-0.31455967	-89.86189	105.90366	168
37	0.7104704146064071	4.229081550910175	0.19448401720208583	7.228079679780591	280	32.22610504398771	0.021761337914213082	2	-38.111538	-226.47018	-2.4572554	-180.17648	-0.30932876	-89.50496	106.24882	161
38	0.6859151404834842	3.839053156627311	0.16616576148613318	5.2274142525089555	184	0.07494872497544942	0.011103339560617527	2	-37.382633	-226.3478	-2.4711344	-178.88947	-0.39430338	-89.09707	106.0036	5
39	0.7557791616122147	2.741377833340016	0.1446012177623853	8.408009004944876	273	16.57651448633289	5.961731365064364	5	-38.027943	-226.41144	-2.463632	-180.0727	-0.32030103	-89.459206	106.21426	134
40	0.8784114739824427	4.466872147315427	0.015023518596342333	5.245644877652068	193	0.7382054647873072	12.044083870757351	10	-38.00933	-226.47249	-2.4599614	-180.01498	-0.32303423	-89.455956	106.22407	130
41	0.8658363022195431	1.9335794975618112	0.10207656870745763	2.761968963902088	360	0.36389074991542725	0.23624386143456733	9	-85.15275	-226.40685	-2.5230348	-177.5392	-0.38091195	-98.40055	102.01028	195
42	0.9740698745377079	1.6486308414883595	0.1451409187155974	5.718727787370591	287	8.574631339962693	0.0155663573671848	7	-37.44185	-226.4614	-2.4724603	-179.84566	-0.35330772	-89.31493	106.24449	48
43	0.8586448033872585	3.900121079474675	0.041792142882728145	5.038673122039158	121	0.01420020574325779	5.634308681598672	6	-37.390377	-226.4399	-2.4712517	-179.70543	-0.38790837	-89.27898	106.20698	34
44	0.9355183032443912	4.578207699740503	0.015929675561645894	5.916145860052961	263	0.7736136920474992	0.5321627075185553	2	-37.521717	-226.4274	-2.4679344	-179.40266	-0.39707774	-89.243355	106.12131	22
45	0.8050188013765548	3.9847927912475307	0.0903472121312359	1.9736544829027687	114	33.88459906622478	0.36442802348662556	9	-38.09658	-226.46983	-2.4567156	-180.17648	-0.30435348	-89.50079	106.25167	150
46	0.8936162710268031	4.058773465482066	0.08115052991693918	9.683617051242654	307	0.10919143535900061	17.63786578635974	10	-37.87428	-226.29265	-2.466975	-179.86293	-0.3631943	-89.372	106.14017	85
47	0.8157624839802627	2.057299229690006	0.029109049437862508	5.142741408386751	184	0.018574160712532015	0.06013126100794334	5	-37.416805	-226.40009	-2.4755738	-178.91177	-0.46265078	-89.13338	106.005875	7
48	0.7799134435719552	4.651488058656809	0.017095877753311686	6.737352202061286	130	0.10977287744697403	0.55182398774817	9	-37.869774	-226.33481	-2.4649384	-179.77048	-0.47813818	-89.38363	106.11094	93
49	0.7369840501604562	3.5904913940156966	0.12392254514692198	4.246219969452693	117	7.715205648463764	5.006592240208038	7	-37.81248	-226.4731	-2.4663718	-179.81316	-0.30952942	-89.37493	106.20665	88
50	0.7099209533338411	4.643320740293873	0.05071190307309358	3.1748454422853007	331	0.8827277969791628	0.012142908585842858	10	-38.032776	-226.14487	-2.5455818	-179.46857	-0.3086675	-89.300095	105.98467	39
51	0.7937875808154653	1.8233382160276168	0.030868048329020688	9.830758218361687	155	0.018610662389504373	0.30431161256258416	3	-37.922043	-226.3346	-2.5036795	-179.97353	-0.40053964	-89.42689	106.15614	116
52	0.6137781481425724	2.8292124568733827	0.1754193209405835	6.938137304440205	319	9.543389620950283	5.427841908786334	9	-37.468037	-226.39012	-2.478607	-179.92468	-0.37855932	-89.328	106.2286	53
53	0.7950900610669953	2.832063114576935	0.0715142333872861	1.9683201908290284	249	0.294028999626641	12.30347978257255	3	-55.007282	-226.4744	-2.5260763	-179.70027	-0.34038895	-92.80968	104.33953	178
54	0.9775095997200302	4.619464027906231	0.17782825740672203	1.4382328340471453	373	0.2196459893507917	17.958688194077446	7	-40.766228	-226.48036	-2.4937713	-180.06445	-0.3341926	-90.0278	105.900604	171
55	0.9821121580030538	3.064935623013077	0.02876500501853984	4.367418827974905	280	7.190921517809041	0.0739773404447167	6	-37.863598	-226.47322	-2.4715376	-179.91405	-0.309297	-89.40634	106.22096	104
56	0.6281661044715201	4.157280953690676	0.044580251138255235	6.568116396760559	219	3.408293854304096	0.013727679128626439	10	-37.521374	-226.31364	-2.4762836	-179.58473	-0.48316965	-89.27585	106.103584	33
57	0.7953416651693129	4.752926931697661	0.04898471306240438	4.0361503249339545	212	0.08525239788892608	0.1883143606301871	2	-37.847412	-226.46898	-2.5073178	-179.75076	-0.3137097	-89.37764	106.17854	90
58	0.6260639901812872	4.672424004350106	0.07550497277543672	3.401244918285927	291	0.8364946269906994	0.8843580501797743	6	-38.17748	-226.1803	-2.5083315	-179.53197	-0.31520244	-89.34266	105.99837	59
